Event,AvgSpeed,MaxSpeed
10742.0,33.962725075757575,34.977779999999996
10743.0,33.70071418604652,33.88612
10744.0,34.0672260952381,34.53611
10745.0,34.26222132743363,34.95556
10746.0,33.59444833333334,33.650009999999995
10747.0,33.56180875,33.61111
10748.0,33.61354625,33.66389
10749.0,33.67580644444445,35.3
10750.0,37.13696889751553,38.57223
10751.0,33.653996875000004,33.8
10752.0,35.90261122807018,37.17223
10753.0,34.54200839130435,35.09445
10754.0,35.531370988764046,37.04167
10755.0,33.954785981735164,34.46389
10756.0,34.38072120689655,35.613890000000005
10757.0,34.73643394144144,36.06945
10758.0,33.5349,33.55834
10759.0,34.075724716981135,34.905559999999994
10760.0,33.95929517241379,34.280559999999994
10761.0,33.79478886297376,34.73611
10762.0,34.21481153846154,34.71945
10763.0,33.917976100000004,34.23611
10764.0,34.8314375,35.48611
10765.0,34.488790263157895,35.613890000000005
10766.0,33.57402235294118,33.61111
10767.0,33.28927603448276,33.92223
10768.0,33.867164785276074,34.83334
10769.0,34.557994518416834,35.53611
10770.0,34.6780988952381,35.29445
10771.0,35.189113094547125,39.18889
10772.0,34.901927848167546,36.76389
10773.0,35.07006848620911,35.45278
10774.0,35.128712919588594,35.655559999999994
10775.0,35.164404597571014,35.575
10776.0,35.120904945621064,35.55834
10777.0,35.14698747064676,36.26945
10778.0,35.137955914429526,35.46945
10779.0,35.009354472246926,37.04167
10780.0,34.26931163934426,34.81112
10781.0,35.20923557213931,36.0
10782.0,34.583062699619774,36.05
10783.0,34.01013021961933,34.32778
10784.0,33.692122790697674,33.88612
10785.0,34.699894955300124,36.80556
10786.0,34.64267749330955,38.56667
10787.0,34.098740757575754,34.74445
10788.0,34.290652057877814,34.73611
10789.0,34.533401322033896,34.91945
10790.0,33.805388726415096,34.57778
10791.0,33.553180000000005,33.57223
10792.0,34.56457953109933,35.41389
10793.0,34.53057585402558,34.93889
10794.0,34.826734255485896,37.21667
10795.0,33.82638733590734,34.483340000000005
10796.0,34.53235838095238,35.42223
10797.0,34.95340012953368,37.18056
10798.0,33.59745147208122,34.06389
10799.0,33.96826418032787,34.383340000000004
10800.0,35.266379670588236,37.60556
10801.0,33.87010952380952,34.26945
10802.0,33.6679768627451,33.85556
10803.0,34.54954262978501,35.54167
10804.0,34.572432797202794,36.758340000000004
10805.0,34.78491458448754,36.07778
10806.0,33.58239079545455,34.0
10807.0,34.52762370466321,36.05
10808.0,33.64960857142857,33.74723
10809.0,33.512901428571425,33.655559999999994
10810.0,34.89332800251256,37.01389
10811.0,34.486131916167665,35.602779999999996
10812.0,33.87667453125,34.85
10813.0,34.3414976531574,35.37778
10814.0,33.57567943877551,34.8
10815.0,34.27304540983607,34.93889
10816.0,34.28443062992126,35.11945
10817.0,33.85132666666667,34.01667
10818.0,34.37245180586907,35.8
10819.0,33.86782034482759,34.07778
10820.0,33.89989588235294,34.25
10821.0,33.5330589977221,34.46389
10822.0,33.32808053738318,34.147220000000004
10823.0,34.083543240740745,35.26945
10824.0,33.669852545454546,33.96945
10825.0,34.23035811594204,34.68612
10826.0,33.90704119830328,35.613890000000005
10827.0,33.91466042553191,34.18056
10828.0,33.589288571428575,33.655559999999994
10829.0,34.07484400881057,34.56667
10830.0,34.2206,34.67223
10831.0,33.65514425,33.74723
10832.0,33.71917780487805,33.863890000000005
10833.0,33.64547942857143,33.725
10834.0,33.89757375,34.21111
10835.0,33.83418694444444,34.09445
10836.0,34.269881875,35.02778
10837.0,33.453418229166665,33.99167
10838.0,33.94575836477988,35.55278
10839.0,33.833303491124255,34.17223
10840.0,33.597920312499994,33.69445
10841.0,33.916950851063824,34.19445
10842.0,34.10415480225989,34.79167
10843.0,33.76307089887641,34.68612
10844.0,33.846159797979794,34.147220000000004
10845.0,33.9013594047619,34.258340000000004
10846.0,33.79276166666666,33.96111
10847.0,33.539262,33.56389
10848.0,33.7144578125,33.92223
10849.0,33.47913774193549,33.85556
10850.0,33.716730652173915,33.85556
10851.0,33.639486324786326,33.8
10852.0,35.31644394686907,36.358340000000005
10853.0,34.03814933098592,34.43889
10854.0,34.399116044303796,35.36111
10855.0,33.494241264367815,33.70834
10856.0,33.629660882352944,33.847229999999996
10857.0,34.87491179870655,36.77778
10858.0,33.84995918699187,34.04723
10859.0,33.66828979757086,34.030559999999994
10860.0,33.863490673400676,34.227779999999996
10861.0,33.793228323699424,34.0
10862.0,33.65278244444444,33.80834
10863.0,33.98371856223176,34.59167
10864.0,35.1934402284264,37.01389
10865.0,33.92132197674418,34.24167
10866.0,33.560281999999994,33.64167
10867.0,34.61643425219942,36.633340000000004
10868.0,33.61070407407407,33.67223
10869.0,33.53611,33.53611
10870.0,33.57598386554621,33.68056
10871.0,33.998994653061224,34.383340000000004
10872.0,33.86540818181818,34.08611
10873.0,33.625782,33.70834
10874.0,33.691379714285716,33.77778
10875.0,33.779456421568625,34.227779999999996
10876.0,34.07030925,34.49445
10877.0,33.781914878048774,33.977779999999996
10880.0,33.919748125,34.20278
10881.0,34.828542063492065,35.68889
10882.0,33.758102075471704,33.90834
10883.0,34.04600182017544,34.73611
10884.0,33.97599798165138,34.280559999999994
10885.0,34.74795978142076,35.75
10886.0,33.72920888888889,33.95556
10887.0,33.916033761467894,34.21945
10888.0,33.633271428571426,33.755559999999996
10889.0,35.042551869918704,35.94723
10890.0,34.46258833333333,36.03334
10891.0,34.41903618374558,34.858340000000005
10892.0,34.29547335676625,35.80834
10893.0,34.12163602739726,34.45556
10894.0,33.82542360465117,34.03889
10895.0,34.67895816346154,35.99167
10896.0,34.39002925373134,35.70556
10897.0,33.99482201793722,34.30556
10898.0,34.15975573617021,35.613890000000005
10899.0,34.445578362068964,35.96389
10900.0,34.8785800608365,37.31945
10901.0,33.55730740740741,33.625
10902.0,33.55,33.55
10903.0,33.77835260273972,33.93889
10904.0,33.587734166666664,33.655559999999994
10905.0,33.75698763052209,34.43056
10906.0,33.840623442622956,34.008340000000004
10907.0,34.12543600000001,34.59167
10908.0,33.55069833333334,33.57223
10909.0,33.94813760416667,34.280559999999994
10910.0,34.75811161557581,35.86945
10911.0,34.008992916666664,34.42223
10912.0,35.05254935814455,37.18056
10913.0,35.580045816393444,37.272220000000004
10914.0,33.35986866141733,33.738890000000005
10915.0,34.09523385674931,35.41945
10916.0,35.00330145322434,36.858340000000005
