Event,AvgSpeed,MaxSpeed
1.0,33.61049777777777,33.755559999999996
2.0,33.446678581314885,34.613890000000005
3.0,35.413589366197186,37.89167
4.0,34.05392690721649,34.33334
5.0,34.486566626506026,35.11111
6.0,33.71345368421052,33.86945
7.0,33.82500365853658,34.18056
8.0,33.5395875,33.55834
9.0,33.96740967889908,34.775009999999995
10.0,33.67602684210526,33.79445
11.0,33.08143181818182,33.66389
12.0,33.82125027027026,34.07223
13.0,33.90704486330935,34.59167
14.0,33.988752799495586,34.258340000000004
15.0,34.56415010309278,35.325
16.0,34.452886758691214,35.34445
17.0,34.48562004310345,36.03334
18.0,34.42090208053692,35.03611
19.0,34.51252937024973,36.01667
20.0,34.622622077294686,36.84167
21.0,33.67831095238095,33.83056
22.0,34.28848691699605,36.30556
23.0,33.93555879981781,35.02778
24.0,33.91860544642857,34.60556
25.0,33.76932272727273,33.95556
26.0,35.07268643048128,39.625
27.0,35.2510796969697,36.825
28.0,34.30721147919877,35.86111
29.0,33.545280000000005,33.58889
30.0,33.660756027713624,34.0
31.0,33.59708355140187,33.83056
32.0,33.50759513089006,33.625
33.0,33.56204076923076,33.602779999999996
34.0,33.589482875,33.655559999999994
35.0,33.4973535409836,33.61945
36.0,33.531821818181825,33.61111
37.0,33.50098062868369,33.74723
38.0,33.46740515254237,33.58056
39.0,33.50360923076923,33.58889
40.0,33.537080652173906,33.602779999999996
41.0,33.47154313915858,33.58889
42.0,33.51237902439025,33.633340000000004
43.0,33.485919126760564,33.58889
44.0,34.87116105263158,35.733340000000005
45.0,34.25890082706767,34.613890000000005
46.0,34.459425490557344,34.67223
47.0,33.595368232115284,33.88612
48.0,33.610287184343434,33.86945
49.0,33.850949492619925,35.852779999999996
50.0,34.15042658986175,34.68056
51.0,33.6978515,33.83889
52.0,34.603993545816735,36.347229999999996
53.0,34.44740204225352,35.08612
54.0,33.16655201550388,34.227779999999996
55.0,33.783914345047926,34.1
56.0,34.052757948717954,34.23611
57.0,33.55347535714286,33.64167
58.0,33.52015999999998,33.55834
59.0,33.5131259770115,33.650009999999995
60.0,33.55,33.55
61.0,33.7803784383378,34.008340000000004
62.0,33.642334513274335,33.8
63.0,33.57727436507936,33.69445
64.0,33.89603306487696,34.613890000000005
65.0,33.562172857142855,33.64167
66.0,33.63728289855073,33.77778
67.0,33.75437059322034,34.06389
68.0,33.6244686097561,34.31389
69.0,33.7433938,33.900009999999995
70.0,33.851286153846154,34.11667
71.0,33.771736764705885,33.98611
72.0,33.6850036,33.83889
73.0,33.669625531914896,33.80834
74.0,33.791572982456145,33.96945
75.0,33.74680996432212,34.647220000000004
76.0,33.981253073951436,34.34445
77.0,33.752217317073175,34.16389
78.0,33.92535987804878,34.51112
79.0,33.94315436229205,34.147220000000004
80.0,33.56781695652174,33.625
81.0,33.50854082568808,33.61945
82.0,33.563853098591544,33.625
83.0,33.54690357894737,33.625
84.0,33.580131880341874,33.93056
85.0,33.522825945945954,33.56389
86.0,33.5367808,33.58056
87.0,33.558612999999994,33.61111
88.0,33.64775108108108,33.76389
89.0,33.66588769230769,33.86945
90.0,34.34756948453609,35.14445
91.0,34.17579030188679,36.01667
92.0,33.481669999999994,33.56389
93.0,33.732527499999996,33.88612
94.0,34.31629753731343,35.91111
95.0,33.59073685106383,34.16389
96.0,33.61504870967742,34.34445
97.0,33.99004314285714,34.60556
98.0,33.54445,33.54445
99.0,33.42036185714286,33.56389
100.0,33.500351875,33.55834
101.0,33.54445,33.54445
102.0,34.108401456953644,35.42778
103.0,33.723110454545456,33.94723
104.0,33.63871875,33.733340000000005
105.0,33.808188055555554,35.04445
106.0,33.537156249999995,33.57223
107.0,33.58056,33.58056
108.0,33.65563568493151,34.008340000000004
109.0,33.29085838461538,35.20278
110.0,34.33586155844157,34.96389
111.0,34.42903753424658,35.06112
112.0,33.673125294117646,33.847229999999996
113.0,33.27225848837209,34.133340000000004
114.0,34.142190518731994,34.775009999999995
115.0,33.802781851851854,34.025009999999995
116.0,33.72161440559441,34.93056
117.0,34.903616345083485,36.68889
118.0,34.46523363083165,35.37778
119.0,34.47985888888889,35.16111
120.0,33.654863999999996,33.74723
121.0,33.551596911764705,33.86945
122.0,33.89989905660377,34.17223
123.0,34.20006566666667,34.78334
124.0,33.54687875,33.58889
125.0,33.71975200892857,34.24167
126.0,33.68951,33.755559999999996
127.0,33.824109770114944,34.32778
128.0,33.67151991228071,34.125
129.0,33.85123123188406,34.28889
130.0,33.55405583333334,33.650009999999995
131.0,34.010866871508384,34.93056
132.0,34.31247697115385,35.3
133.0,35.03988169491526,36.26945
134.0,34.513521443850266,36.733340000000005
135.0,34.31957769465649,36.233340000000005
136.0,33.863013124999995,34.79167
137.0,33.57585425373134,34.352779999999996
138.0,33.638296355140184,34.03889
139.0,33.91640449760766,34.875
140.0,33.99567673469388,34.60556
141.0,33.9687111012987,35.88612
142.0,34.08942198425198,35.16945
143.0,33.21712162162162,33.57223
144.0,33.54445,33.54445
145.0,33.73666695035461,34.55
146.0,34.57718081081081,35.53611
147.0,33.63306903225807,33.85556
148.0,33.996678778054864,35.722229999999996
149.0,34.02823379518073,34.647220000000004
150.0,34.028776524822696,35.68056
151.0,34.0835103117506,35.613890000000005
152.0,33.87564602601156,34.95556
153.0,33.38064614583333,33.88612
154.0,33.56147451612903,33.68056
155.0,33.43170673913043,33.71667
156.0,33.58173214814815,34.025009999999995
157.0,34.270721197916664,35.15278
158.0,33.66259733333334,33.76389
159.0,33.79641903225806,33.99167
160.0,33.53734777777778,33.61111
161.0,33.48194823529411,33.755559999999996
162.0,33.665912954545455,33.82223
163.0,33.798115333333335,34.280559999999994
164.0,34.776343035714284,36.08612
