Driver,Trip,Week,Cluster
37,37,1,1
37,39,1,1
37,42,2,0
37,50,2,1
37,53,2,1
37,56,2,1
37,57,2,0
37,63,2,0
37,64,2,0
37,67,2,1
37,70,2,0
37,72,2,1
38,2,1,1
38,3,1,1
38,4,1,1
38,8,1,0
38,12,1,1
38,17,1,0
38,18,1,0
38,23,1,0
38,24,1,1
38,56,2,0
38,57,2,0
38,90,2,1
38,91,2,1
39,26,1,0
39,34,1,0
39,38,1,1
39,40,1,0
39,53,2,0
39,54,2,0
39,61,2,0
40,10,1,1
40,13,1,1
40,17,1,1
40,26,1,0
40,28,1,0
40,34,1,0
40,40,1,1
40,41,1,1
40,44,1,0
40,70,2,0
40,73,2,0
40,75,2,0
40,76,2,0
40,77,2,0
40,78,2,0
40,80,2,0
41,1,1,1
41,25,1,0
41,27,1,1
41,44,1,1
41,46,1,1
41,56,2,0
41,62,2,0
41,63,2,0
41,65,2,1
