Driver,Risk Level,TripsPerWeek,DistancePerTrip
8.0,0.0,5.5,37.885391000498096
13.0,0.0,6.0,28.480014897600963
14.0,1.0,4.0,13.30060206480167
18.0,0.0,13.0,21.95849596151999
20.0,0.0,14.5,9.987844637348662
21.0,0.0,13.5,16.067097080894232
22.0,0.0,9.5,14.445531158657223
23.0,0.0,4.0,16.6223245758205
27.0,1.0,11.0,19.869638292934372
28.0,0.0,10.0,12.1374754998645
29.0,1.0,9.0,31.37146290464828
30.0,0.0,6.0,13.210826474307552
31.0,1.0,11.5,10.465860161982347
36.0,1.0,18.5,10.96190695907548
38.0,0.0,9.5,22.42206580745852
39.0,0.0,8.5,12.120105176444408
40.0,0.0,11.5,26.09543863842555
42.0,0.0,7.5,14.304218548384174
45.0,1.0,7.5,12.206042503152512
52.0,0.0,7.0,5.148611113926344
53.0,1.0,6.0,9.630583400349499
62.0,0.0,8.0,13.930644459405086
64.0,1.0,12.0,20.398892499828936
72.0,1.0,10.0,27.480530206216514
84.0,0.0,15.5,19.934757349071813
86.0,0.0,22.5,12.300345137271863
88.0,0.0,6.5,7.653135812519007
90.0,1.0,5.0,17.326967563983676
105.0,0.0,4.0,14.243876689679928
108.0,0.0,11.0,16.867972619435225
109.0,0.0,18.0,19.95345698526273
110.0,0.0,8.5,24.727084208542752
111.0,1.0,9.5,53.002969168809095
115.0,1.0,12.5,27.16750586844509
