Driver,Risk Level,TripsPerWeek,DistancePerTrip
8.0,0.0,8.25,36.150193460270664
11.0,0.0,5.75,6.32359489968561
12.0,0.0,1.5,6.956709585067441
13.0,0.0,1.75,23.36047556719908
14.0,1.0,4.5,32.494268860824235
18.0,0.0,12.75,24.548845155902814
20.0,0.0,10.0,9.793055540258354
21.0,1.0,16.5,32.69168274762638
22.0,0.0,12.25,17.656510562895825
23.0,0.0,4.75,19.81518038034488
27.0,1.0,10.25,20.6843143222185
28.0,0.0,15.75,11.14253177225768
29.0,1.0,6.25,38.464682547291424
30.0,0.0,9.5,6.727544502818148
31.0,0.0,6.5,5.92156774596577
36.0,1.0,24.0,10.422311120713422
38.0,0.0,7.0,19.135126328963814
39.0,0.0,8.5,11.424175079358562
40.0,0.0,12.5,25.626445973778644
42.0,0.0,9.25,22.049705540210823
45.0,1.0,10.0,8.763969839174429
52.0,0.0,8.25,8.926445011398544
53.0,0.0,13.75,9.517989574183312
62.0,0.0,9.25,20.612296358876847
64.0,1.0,7.5,16.02782190750144
72.0,1.0,11.75,27.152889174563555
84.0,0.0,13.75,12.18259554701746
86.0,0.0,20.75,24.300592181921566
88.0,0.0,11.75,10.960883473118262
105.0,0.0,7.25,7.455510459834376
108.0,0.0,7.75,14.25269883356638
109.0,0.0,18.75,9.961063380421297
110.0,0.0,8.75,15.731222361764603
111.0,1.0,6.25,22.299116677118057
115.0,1.0,12.5,32.37552180394316
