Event,Driver,Trip,Starttime,Endtime
19999,103,99,16940,30790
20000,103,99,52430,52580
20001,103,99,54550,54620
20002,103,99,60350,61150
20003,103,102,37790,44860
20004,103,102,45960,59060
20005,103,102,71290,71330
20006,103,102,72440,83300
20007,103,104,17770,29340
20008,103,104,30670,31350
20009,103,104,43170,47740
20010,103,104,51460,74450
20011,103,104,77360,81420
20012,103,104,116330,118790
20013,103,104,124230,127410
20014,103,104,129910,135030
20015,103,106,78490,78790
20016,103,106,82510,84950
20017,103,106,87280,87570
20018,103,106,92180,106370
20019,103,112,77890,89200
20020,103,112,90930,93430
20021,103,112,94620,103150
20022,103,112,108640,110550
20023,103,112,115940,120080
20024,103,113,21440,21520
20025,103,113,25950,30720
20026,103,113,61070,62670
20027,103,114,73700,87240
20028,103,114,90800,91430
20029,103,114,93740,97290
20030,103,114,105340,108270
20031,103,114,110330,115220
20032,103,114,117910,120070
20033,103,118,152700,153220
20034,103,118,287720,300780
20035,103,118,302000,302430
20036,103,118,317860,319890
20037,103,118,326630,330610
20038,103,118,334230,334820
20039,103,120,95830,103490
20040,103,127,39540,42830
20041,103,128,9240,9250
20042,103,128,10580,17370
20043,103,128,23940,36690
20044,103,130,21670,25280
20045,103,130,26360,33870
20046,103,130,54050,55220
20047,103,130,59190,66660
20048,103,136,14810,15890
20049,103,136,19160,19460
20050,103,136,23640,24330
20051,103,136,32440,35310
20052,103,136,36580,38390
20053,103,136,48820,49190
20054,103,136,51930,52900
20055,103,139,44100,47070
20056,103,139,55560,72070
20057,103,139,74160,76100
20058,103,144,18460,31990
20059,103,144,47340,47340
20060,103,147,73320,77840
20061,103,147,78970,90760
20062,103,147,96840,98720
20063,103,147,104700,111340
20064,103,150,9030,25720
20065,103,150,34900,37260
20066,103,150,50560,51080
20067,103,150,52190,58690
20068,103,151,180740,187690
20069,103,153,46600,46940
20070,103,157,34890,43880
20071,103,157,45860,57230
20072,103,157,65940,73860
20073,103,157,76530,79920
20074,103,158,25180,29300
20075,103,158,34690,34920
20076,103,158,45050,45330
20077,103,158,47030,47750
20078,103,158,50670,55620
20079,103,158,56780,63070
20080,103,158,67000,68200
20081,103,160,92630,93060
20082,103,160,94260,101050
20083,103,160,102700,110660
20084,103,160,120370,120710
20085,103,160,122710,123800
20086,103,160,125740,126690
20087,103,160,422690,423910
20088,103,160,430410,430860
20089,103,160,451750,452850
20090,103,160,459190,460280
