Event,Driver,Trip,Starttime,Endtime
1,1,1,88120,88570
2,1,17,83780,84110
3,1,19,152580,155140
4,1,42,65320,65690
5,1,42,153920,154930
6,1,47,77480,77750
7,1,47,107550,108040
8,1,47,110080,114870
9,1,47,144130,145890
10,1,47,174090,180690
11,1,48,117840,119030
12,1,48,189420,190430
13,1,48,209280,209280
14,1,48,220710,221580
15,1,48,234600,235150
16,1,48,237750,239030
17,1,48,266190,267150
18,1,48,367280,368110
19,1,48,375160,376590
20,1,48,481570,482720
21,1,48,490490,495310
22,1,48,503090,503750
23,1,48,515880,517150
24,1,48,542480,544500
25,1,48,563680,566860
26,1,48,633360,636700
27,1,48,685840,685940
28,1,48,687390,688230
29,1,48,690150,690520
30,1,48,696940,698570
31,1,48,727690,730070
32,1,48,740230,740300
33,1,49,15800,17270
34,1,49,21150,22780
35,1,49,24460,25940
36,1,49,28040,30970
37,1,49,43980,44170
38,1,49,82460,82990
39,1,49,91840,97970
40,1,49,112820,116640
41,1,49,131870,132100
42,1,49,192500,195250
43,1,49,199590,200490
44,1,49,202340,204820
45,1,49,208250,210010
46,1,49,233310,234510
47,1,49,267870,268220
48,1,49,269670,269860
49,1,49,277950,278090
50,1,49,380330,382150
51,1,53,154830,155500
52,1,53,487180,487580
53,1,53,489680,489690
54,1,53,565670,567730
55,1,53,571430,571570
56,1,53,575080,575730
57,1,53,577770,579140
58,1,54,32130,32740
59,1,54,43500,44220
60,1,54,85690,87090
61,1,54,174920,175700
62,1,54,186380,187390
63,1,54,196520,196760
64,1,54,199000,199780
65,1,54,201610,201990
66,1,54,203480,207170
67,1,54,209270,213380
68,1,54,291610,291860
69,1,54,335240,335250
70,1,54,386140,386360
71,1,54,403930,405100
72,1,54,531450,534530
73,1,54,555380,555700
74,1,54,558400,560630
75,1,54,628850,630000
76,1,54,658830,659340
77,1,54,725300,725460
78,1,54,735130,736220
79,1,54,742570,744720
80,1,55,52560,52930
81,1,102,93020,94550
82,1,102,101030,101130
83,1,102,114440,115160
84,1,102,118200,119210
85,1,155,75890,76590
86,1,155,104490,105120
87,1,155,152000,153390
88,1,155,155240,157110
89,1,155,163230,169040
90,1,155,177090,179790
91,2,1,35200,37890
92,2,1,40950,49770
93,2,1,51050,68620
94,2,6,27520,30330
95,2,6,36140,42020
96,2,6,43720,46940
97,2,6,48060,48110
98,2,6,50490,51550
99,2,14,28270,29780
100,2,22,16330,19430
101,2,23,112070,112710
102,2,37,28990,31270
103,2,37,40950,41080
104,2,37,64850,64920
105,2,37,68350,102170
106,2,37,104360,105450
107,2,37,126060,134460
108,2,37,136100,143840
109,2,37,156620,157630
110,2,39,62830,63960
111,2,39,65280,69200
112,2,39,81500,86370
113,2,39,126700,131830
114,2,39,142610,142770
115,2,39,147600,154720
116,2,39,158480,159280
117,2,39,189730,194960
118,2,72,11340,18980
119,2,72,22470,23870
120,2,78,32150,35340
121,2,78,44640,46040
122,2,78,54360,54550
123,2,78,63490,65540
124,2,78,69010,72050
125,2,78,73450,73600
126,2,78,74940,75490
127,2,78,77230,94730
128,2,78,100530,103800
129,2,78,105630,105920
130,2,78,107290,107310
131,2,78,125090,126710
132,2,78,127960,138010
133,2,78,139070,150350
134,2,78,156380,157440
135,2,80,41890,43350
136,2,80,47530,51870
137,2,80,60500,71470
138,2,80,99390,99790
139,2,80,101810,127600
140,2,80,130290,132550
141,2,80,133970,134260
142,2,80,137240,138110
143,2,80,158040,158740
144,2,80,163660,164020
145,2,80,167720,169870
146,2,80,171080,173240
147,2,87,20860,67960
148,2,87,71150,84560
149,2,87,86420,88730
150,2,87,93030,120360
151,2,87,122290,129150
152,2,87,137720,146660
153,2,90,36590,40550
154,2,90,41680,77930
155,2,90,96470,99510
156,2,90,102170,116510
157,2,91,62960,69660
158,2,91,72700,73920
159,2,91,74970,80780
160,2,91,104460,105790
