Driver,Trip,Lanechange,Distance,Frequency
1,1,3,20.4658068218557,0.14658596292408374
1,16,1,12.188644169829999,0.08204357975067111
1,17,1,11.09786127270777,0.0901074518258066
1,42,6,23.3266353992675,0.25721669230481525
1,43,9,23.70744091637,0.3796276465160563
1,47,10,23.64227270139051,0.4229711807448974
1,48,98,131.21012402447002,0.7468935856026132
1,49,40,91.84031717739,0.43553856551627335
1,53,21,90.17609732689309,0.23287767626352135
1,54,59,141.727148616243,0.4162928597382235
1,55,4,23.746899154109997,0.16844304488098605
1,102,5,20.145962449019997,0.2481886885599365
1,103,3,19.889749850069997,0.15083145955148564
1,126,2,8.312366819247579,0.24060535867701716
1,127,1,9.735183987300001,0.10272019525306829
1,155,4,23.961298398746,0.16693586188173082
1,157,2,11.96586873394137,0.16714206418853395
1,181,4,21.356239656876998,0.18729889082846782
1,182,1,8.31370988254093,0.12028324467997537
1,183,1,11.107011740689998,0.0900332171556593
2,1,2,7.4074741798899995,0.2699975661649488
2,6,1,5.447111667821001,0.18358353215109108
2,37,6,23.752067523358996,0.252609588369488
2,39,13,23.601954162593998,0.5508018493063297
2,72,3,3.4619859456899995,0.8665546443753912
2,78,3,22.996701319791,0.13045349236319362
2,80,9,23.693264235546,0.37985479377289355
2,87,6,29.9579333836045,0.20028083790598533
2,90,4,19.539801101139997,0.20471037444524606
2,91,13,23.576309042090998,0.5514009837922884
2,126,1,3.1031417694729,0.3222540490536016
2,131,8,21.27908781006,0.37595596537826603
2,132,4,20.677020793384,0.19345146672580002
2,137,10,38.06716864319,0.2626935586865335
2,138,5,17.880025953749005,0.2796416522511603
2,139,9,17.896758323169298,0.5028843680784649
2,140,5,23.460681467778,0.21312253895383365
2,148,3,13.467830422127898,0.22275302747136938
2,150,2,3.017600203557,0.6627783222053397
2,174,2,4.76906073138,0.4193697905418096
2,175,2,8.81688798321,0.22683740610163133
2,188,7,19.20783604275,0.3644345976517303
2,190,15,34.0972100319679,0.4399186908822371
2,204,3,8.9016534145,0.33701604188647327
2,205,3,8.71626953911,0.3441839409094643
2,236,4,17.004397066353,0.23523327433437166
2,237,3,15.8676449053244,0.18906397375916495
2,238,4,5.4145063334,0.7387561771468515
2,249,10,23.679865447824998,0.42229969684724294
2,253,7,19.429402790336,0.36027870107678933
2,254,10,31.659061232659997,0.3158653355673048
2,255,3,16.45000211531,0.18237079721758231
2,286,7,19.327565963939996,0.36217700734071245
3,1,2,6.508409577300001,0.3072947355642138
3,180,2,6.5696020949,0.304432440672869
4,2,2,8.67257666482,0.23061197119339738
4,6,6,25.919599515839998,0.23148505810567316
4,19,27,37.2164799444594,0.7254850550157853
4,22,14,35.870096795473394,0.39029724619440453
4,30,14,42.312143378858735,0.330874280573437
4,31,15,42.514846868650004,0.3528179237324465
4,33,23,48.298598900801295,0.4762042900507083
4,38,8,42.5620812350413,0.18796073330675409
4,41,18,42.711282182312004,0.4214343161876402
4,44,23,42.68231975379,0.538864807083446
4,46,18,48.701235482354996,0.36960047977677285
4,49,16,47.375316097989995,0.3377286173015917
4,74,9,21.917959938850004,0.4106221575871816
4,77,1,19.389031262969997,0.05157555250889934
4,80,9,43.11354929105,0.20875108053022956
4,81,17,42.142274535116,0.40339540728477685
4,83,14,42.197346309668006,0.331774417691105
4,85,11,42.515085847552,0.2587316897216938
4,97,17,47.608158735119396,0.357081652634037
4,99,12,42.4100831907156,0.28295157889779937
4,121,6,19.69475151667,0.30464969283423
4,122,2,13.93621187674,0.1435110213370153
4,124,12,48.224281377316,0.24883730057291484
4,125,9,42.16091948761,0.21346783014646695
4,126,13,47.9104646911571,0.2713394679805606
4,129,22,42.42812356262699,0.5185239919348873
4,140,21,47.14241406410229,0.44545873216091725
4,143,14,41.656065948484994,0.3360855059456034
4,148,5,47.444988329570116,0.10538520876574328
4,151,13,42.467178406962994,0.30611876012625544
4,158,6,7.2548567042386995,0.8270321861070611
4,160,3,6.921476780145001,0.4334335135827981
4,163,8,38.71375383779,0.2066449054131994
4,167,4,13.7428995314158,0.2910593933147904
4,169,5,24.73328115458,0.20215676071244282
4,177,6,18.54122782127,0.32360316467914607
4,178,6,14.09487435665,0.42568666085123236
4,186,14,42.485038326812706,0.3295277714546504
4,187,16,42.212158652002,0.3790377111936957
4,189,10,48.393770769662204,0.20663816522164763
4,194,13,61.158161058508,0.21256361824815706
4,199,12,42.5361087457538,0.28211325280660304
4,201,8,42.159253532503,0.18975668043629706
4,205,6,48.4818657437465,0.12375761344898155
4,207,17,47.838092826270596,0.355365337446403
4,208,5,39.467816158549994,0.1266854993930755
4,235,1,38.36016696751,0.026068708221394666
4,239,14,42.586965736527304,0.3287390814976998
4,242,9,42.8452544444939,0.2100582693856916
4,251,15,42.4723968089244,0.3531705561021733
4,252,7,49.622205925062005,0.1410658770505123
4,279,5,19.69297191299,0.2538976860420884
4,280,6,14.01768963936,0.42803059237042285
4,291,12,44.260166359480806,0.2711241503824471
4,292,13,41.9540184638928,0.3098630471164112
4,294,21,48.1231624134673,0.4363802989415163
4,296,17,43.91736020899121,0.38709066116682456
5,1,1,8.37432341441,0.11941263198400769
5,7,1,5.0883659973899995,0.19652674365659525
5,14,1,19.502110101817,0.05127650263377554
5,18,4,25.35333928406065,0.15777014440518902
5,19,5,27.536754149287,0.18157550352133509
5,20,9,24.25764603164,0.3710170388446192
5,21,8,22.3422841913,0.35806544807603735
5,22,13,40.76591383973051,0.31889386930240193
5,25,1,34.138147378855905,0.029292743654254903
5,26,11,33.11897812547,0.33213585148451485
5,28,6,21.598005403327,0.2778034308240217
5,34,2,14.15588187935223,0.14128402716592317
5,49,7,19.427411485897,0.36031562954650603
5,55,9,28.952782374119998,0.31085095324188333
5,57,12,22.975416166167,0.5222973944502858
5,73,1,5.11420815432,0.1955336915951093
5,75,1,5.2805513888,0.18937416310747218
5,82,2,5.017059564574001,0.3986398754605618
5,84,3,6.775592463600001,0.44276570884637345
5,93,2,9.11156959886,0.21950114942328175
5,102,1,4.0750403995280005,0.24539634014814354
5,103,1,3.1372275986969997,0.3187527740784044
5,105,11,26.595670739872176,0.41360114988597835
5,109,2,14.738290191428,0.13570095133309484
5,111,3,4.798015952009999,0.6252584464091311
5,112,4,14.347594234830002,0.27879238390291666
5,113,2,3.2290921201,0.6193691370867621
5,122,5,39.58960405718,0.12629578191230223
5,125,9,39.59472422054439,0.2273030101149233
5,126,2,22.176376537190002,0.09018605887422503
5,128,8,34.332677777149996,0.2330141578797671
5,129,4,4.8620282466699996,0.822701925423736
5,135,7,21.89167785196,0.3197562127186737
5,137,4,21.58091766619,0.18534893009979123
5,143,9,29.21224832906723,0.3080899456494309
5,145,3,19.6644308727472,0.15255971654677683
5,146,4,17.383216591729997,0.23010701033909833
5,147,6,26.50218919277,0.22639639149647478
5,153,12,35.393538256440515,0.3390449384589679
5,162,1,4.83189428715,0.20695817014445297
5,163,12,23.60168187826,0.5084383418900943
5,166,7,29.807479170326,0.23484038888362802
5,169,1,3.8140684792,0.2621872169976743
5,170,2,9.2855109457,0.215389332013676
5,172,14,26.612530791134095,0.5260679681266567
5,175,3,16.629245612360002,0.18040505684576533
5,182,6,22.83554509566,0.2627482713841733
5,183,3,21.49584900634,0.1395618288496155
5,184,9,26.503552478550002,0.33957711922897615
5,186,3,27.288109215567,0.10993799446861621
5,192,1,5.15637432252,0.19393471797277986
5,193,2,11.127490853149999,0.17973503877865107
5,208,8,26.38087291397,0.3032500109487885
5,211,4,26.540088530618934,0.15071539777967413
5,212,2,27.373315446735,0.07306385680213806
5,215,2,5.27586315215,0.379084889490541
6,1,2,53.308136228506,0.03751772508847383
6,12,18,36.697378362029994,0.4904982536470295
6,15,5,30.329493455698895,0.16485603385705416
6,48,10,36.854685509696,0.2713359200248535
6,49,3,33.2519408540266,0.09022029761119099
6,61,4,12.32268610623,0.3246045517606517
6,62,2,12.682180341099999,0.15770158964846642
6,84,13,36.587822628946,0.35530947364206394
6,85,2,33.6173901622752,0.059493018058384625
6,126,7,39.684858897577,0.1763896910422779
6,130,10,39.0856608828924,0.25584830278197884
6,137,1,13.8122365506579,0.07239957094076617
6,138,1,4.1239649606699995,0.2424850864488274
6,140,2,4.66045395456,0.42914274435500194
6,142,5,12.6778058963,0.39439001045592936
6,161,5,36.350183773488,0.13755088643174204
6,164,4,34.8673507675054,0.1147205024744179
6,172,13,49.785151321971,0.26112203447823784
7,9,4,13.119260076909999,0.30489524382857774
7,10,10,20.460030808670002,0.4887578173031132
7,12,8,36.09488287967051,0.2216380650595154
7,15,5,34.833836232073,0.14353859754890524
7,36,54,114.83813739814,0.47022706239812817
7,37,18,57.52740890816,0.3128943288361243
7,38,15,48.66065784656,0.30825723826626
7,39,1,2.9706369968199997,0.3366281376925143
7,40,1,2.60124930881,0.38443066437852225
7,43,5,9.03716240547,0.5532710131416481
7,67,3,12.880803436395,0.23290472638713144
7,69,16,20.40106776663,0.784272675480799
7,73,54,106.76850276323,0.5057671373340364
7,80,29,58.033696213199995,0.49970968406806104
7,81,21,48.591155126580006,0.4321774188181981
7,93,6,10.346291378243,0.5799179416710876
8,76,12,88.877314829486,0.13501758039182876
8,77,8,102.5949256563667,0.0779765660808152
8,78,5,54.2473532634,0.09217039540569505
8,80,6,47.04887854579612,0.12752695038543288
8,84,2,47.47651252058016,0.04212609338424001
8,86,6,24.28598050364,0.2470561153213771
8,87,8,34.7498811294,0.2302166148485507
8,88,1,35.628153759735,0.028067690701676088
8,89,1,35.43908112134,0.02821743590292582
8,93,2,48.63266899919511,0.0411246193383526
8,95,4,17.24669538903,0.23192848889441486
8,97,6,65.81565039466099,0.09116372722933273
8,126,1,34.221991461351,0.029220976258186537
8,127,8,64.40899528773,0.12420625355607762
8,128,4,59.61938844777659,0.06709226820573289
8,129,5,57.207609653,0.08740095994795331
8,131,2,39.0453418675051,0.05122249939024019
8,137,2,50.6526159668,0.039484633948834745
8,138,1,49.83760843369999,0.020065168282108095
8,142,2,75.06087463,0.026645039907390696
8,143,1,48.066799003309995,0.020804381001762517
8,144,4,49.029995203599995,0.0815827124475489
8,145,5,40.622678906299996,0.12308395543122519
8,148,4,47.0910246213758,0.08494187654995936
8,150,1,77.28419241329999,0.012939256641930155
8,152,2,39.6310593781,0.05046546903828652
8,208,2,7.90456769441,0.2530182645427114
8,209,1,7.587721810860001,0.13179186387259748
10,9,1,4.54996194116,0.21978205816487614
10,19,1,4.733681787689999,0.21125205386650892
10,26,1,4.02581584095,0.248396856564612
10,27,1,4.7482555736536,0.210603659488897
10,31,3,4.83066148907,0.6210329593137276
10,32,1,3.9387774382,0.2538858860877894
10,33,1,4.758173086239999,0.21016469596111717
10,40,3,4.55826841532,0.6581446564044416
10,42,1,4.03614984542,0.24776087070571595
10,43,1,4.79419639062,0.2085855310300872
10,62,2,4.8687259939,0.4107850806362463
10,76,1,4.697436654220001,0.21288206177333707
10,92,1,4.01123228705,0.24929994785603274
10,97,1,3.94501350752,0.2534845566672449
10,100,1,4.57086855618,0.21877680088786614
10,101,1,4.87406542631,0.20516753726817907
11,1,7,32.576881888699994,0.21487630473400537
11,44,4,9.579210386645801,0.41757095194154265
11,46,2,7.3301156591973,0.2728469908234728
11,48,2,6.4447191523,0.31033159905598634
11,58,2,6.6887230051393,0.2990107376943692
11,59,1,7.438559643291001,0.13443462820143168
11,72,1,6.497722013300001,0.15390008959341886
11,77,3,17.55524474034,0.17088910148352038
11,79,2,6.129925653859999,0.32626823112293457
11,94,3,3.36250460869,0.8921920856991097
11,97,1,5.834453034199999,0.17139567224866978
11,101,1,6.4518022545628995,0.15499545096763798
11,107,5,8.0301322799,0.6226547491023728
11,108,1,7.3431202808588,0.13618189022542432
11,110,3,7.866312428990001,0.3813731055156154
11,111,1,6.4517905168836,0.1549957329493439
11,117,8,9.0880768419,0.8802742471450625
11,119,2,7.833966143722,0.2552985248222912
11,124,7,41.843998604701,0.16728802775587462
12,1,12,36.867494990109,0.325489974385822
12,37,9,22.884531545254,0.39327875172810783
12,58,1,7.21381427747,0.1386229200720033
12,59,1,5.537444184090641,0.1805887277154054
12,121,4,11.86038620486,0.3372571458390563
12,155,11,37.06686891970761,0.2967609706616345
13,1,11,31.533231943549996,0.34883833092947547
13,33,49,88.345327039876,0.5546416731004132
13,34,7,19.09257874282,0.366634601553362
13,38,17,41.71234223200501,0.40755323461448434
