Driver,Trip,Speeding,Total,Ratio
21,222,37580,133770,0.2809299543993421
21,224,20910,195630,0.10688544701732863
21,228,324410,415860,0.7800942624921847
21,238,33540,78930,0.4249334853667807
21,243,4580,5100,0.8980392156862745
22,5,2360,145590,0.01620990452640978
22,31,310,138080,0.0022450753186558513
22,46,1420,169230,0.008390947231578324
22,56,10,161380,6.196554715578138e-05
22,59,2020,153850,0.013129671758206046
22,60,900,141430,0.0063635720851304535
22,66,630,301540,0.0020892750547191084
22,70,2590,325949,0.007946003988341771
22,82,30,230839,0.00012996014555536305
22,83,330,290090,0.0011375779930366439
22,84,1740,74650,0.02330877427997321
22,95,100,31880,0.003136762860727729
22,109,6520,198320,0.03287615974183138
22,136,1870,196370,0.009522839537607578
22,138,2140,188530,0.011350978624091656
22,144,870,124650,0.0069795427196149215
22,145,450,132430,0.0033980215963150336
23,1,14910,258740,0.0576254154749942
23,5,320,109600,0.00291970802919708
23,6,12200,102480,0.11904761904761904
23,62,171220,488789,0.35029358211092704
23,63,125300,255960,0.4895296140021878
23,84,6000,43310,0.1385361348418379
23,86,150080,818320,0.18340013686577378
23,160,450,9610,0.046826222684703434
23,171,13650,286450,0.047652295339500786
25,4,21590,52300,0.41281070745697895
25,9,820,52979,0.015477538693846736
25,10,30170,107010,0.2819362676385384
25,13,24110,37530,0.6424193978150813
25,15,15330,37260,0.4114331723027375
25,33,4960,33990,0.14592527213886436
25,37,41100,136530,0.3010327400571303
25,80,7180,20010,0.3588205897051474
25,92,8910,41040,0.21710526315789475
25,100,12350,48500,0.25463917525773194
25,113,2270,23300,0.09742489270386266
25,114,8240,29190,0.2822884549503254
25,116,470,73140,0.006426032266885424
25,119,2730,29889,0.09133489461358314
25,142,30050,47000,0.6393617021276595
25,143,17280,47610,0.3629489603024575
25,152,3780,40970,0.09226263119355627
25,153,9230,36880,0.2502711496746204
25,156,3220,20490,0.15714982918496828
25,161,10140,82130,0.12346280287349325
25,163,11100,40050,0.27715355805243447
25,164,5220,41800,0.12488038277511962
25,173,9310,40240,0.23136182902584493
25,176,19080,37230,0.5124899274778405
25,177,10530,19740,0.5334346504559271
25,186,11670,39910,0.29240791781508396
25,188,18670,36379,0.5131940626717978
25,189,11390,42400,0.26863207547169804
25,196,15060,40170,0.37490664675130697
25,199,6250,18770,0.3329781566329249
25,200,3820,19539,0.19549641760491304
25,202,57830,563269,0.10266834732898968
25,204,14170,424670,0.03336708503072974
25,211,34290,480839,0.07131270277015224
25,212,14250,497850,0.02862307924073516
25,217,19100,37750,0.5059602649006623
25,220,31550,58640,0.5380286493860846
25,223,2030,50730,0.040015769761482356
25,227,6920,39900,0.17343358395989975
25,242,11920,40170,0.2967388598456559
25,253,14160,39480,0.3586626139817629
25,254,20110,37040,0.54292656587473
25,256,9660,40680,0.2374631268436578
25,258,4830,41010,0.11777615215801024
25,260,11080,39050,0.2837387964148528
25,269,12950,39550,0.3274336283185841
25,270,9440,40860,0.2310327949094469
25,276,59530,99570,0.5978708446319172
25,280,2520,95090,0.026501209380586813
25,292,10470,40630,0.25769136106325374
25,301,5190,25280,0.20530063291139242
25,303,2330,6190,0.3764135702746365
25,308,400,24430,0.01637331150225133
25,315,190,28550,0.006654991243432574
25,322,13700,21810,0.6281522237505731
25,327,13810,39820,0.3468106479156203
25,331,340,6140,0.05537459283387622
25,333,10750,21470,0.5006986492780624
25,335,6360,44640,0.1424731182795699
25,344,22630,38540,0.5871821484172288
25,347,13560,104470,0.12979802814205035
25,348,7490,96780,0.07739202314527795
25,349,10700,39420,0.27143581938102485
25,350,640,39570,0.01617386909274703
25,359,14410,37399,0.3852941176470589
25,360,19960,38860,0.5136387030365415
25,370,1770,6400,0.2765625
25,376,11970,19850,0.603022670025189
25,382,8220,41670,0.19726421886249101
25,383,18230,27539,0.6619462599854757
25,384,20,108350,0.00018458698661744346
25,388,4020,5920,0.6790540540540541
25,404,20940,38420,0.545028630921395
25,405,24560,38140,0.6439433665443104
25,410,900,80040,0.01124437781109445
25,413,7750,39750,0.1949685534591195
25,430,30760,74180,0.41466702615260176
27,1,18270,103840,0.17594375963020029
27,4,47520,134910,0.352234823215477
27,5,55080,129000,0.42697674418604653
27,6,7440,40320,0.18452380952380953
27,7,12250,53490,0.22901476911572258
27,8,26560,58929,0.45070422535211274
27,10,23100,60390,0.3825136612021858
27,11,38120,130140,0.2929153219609651
27,12,30870,138940,0.22218223693680725
27,13,44560,129939,0.3429275050023088
27,15,55600,148750,0.373781512605042
27,17,50690,128930,0.39315907856976656
27,18,10060,43380,0.2319041032733979
27,19,3910,38370,0.10190252801667969
27,20,21350,148829,0.14345226096889072
27,21,50180,127169,0.39458991900605495
27,25,34160,139860,0.24424424424424424
27,26,14350,26200,0.5477099236641222
27,27,9850,24750,0.397979797979798
27,28,25940,131120,0.19783404514948139
27,29,55380,138449,0.4000000000000001
27,30,40450,131529,0.3075344027978409
27,31,54780,168300,0.3254901960784313
27,33,25750,130430,0.19742390554320324
27,34,20570,144600,0.14225449515905947
27,35,36760,135210,0.271873382146291
27,36,16190,46070,0.3514217495116127
27,38,14370,51579,0.278596355176425
27,39,48070,130100,0.3694850115295925
27,42,25560,63459,0.4027734005672865
27,43,35440,128290,0.2762491230805207
27,44,74360,146130,0.5088619722165195
27,46,93680,122159,0.7668631303208907
27,47,7510,85020,0.08833215713949659
27,48,24230,49950,0.485085085085085
27,49,67540,127009,0.5317691520352729
27,50,54490,130409,0.417836055517215
27,51,66550,127790,0.520776273573832
27,53,23760,87970,0.27009207684437875
27,54,30570,40570,0.7535124476213951
27,55,32830,129720,0.2530835646006784
27,56,48930,135780,0.36036235086168805
27,57,60640,128220,0.47293713929184217
27,58,2070,105770,0.01957076675805994
27,59,30970,40880,0.7575831702544031
27,60,55390,128909,0.4296796214413157
27,61,7740,109150,0.07091158955565735
27,62,18360,61240,0.2998040496407577
27,65,39080,287370,0.13599192678428507
27,69,51520,129290,0.3984840281537628
27,70,38270,135240,0.2829784087548063
27,71,45130,130780,0.34508334607738184
27,74,5340,28330,0.18849276385457112
27,76,17520,42040,0.4167459562321599
27,77,25490,154860,0.1646002841275991
27,78,58630,130440,0.44947868751916586
27,79,54070,129250,0.4183365570599612
27,82,29150,128020,0.22769879706295892
27,83,50890,137800,0.3693033381712627
27,84,48380,130050,0.37201076509034986
27,85,50480,143620,0.35148308035092607
28,1,5300,115900,0.0457290767903365
28,4,230,66280,0.0034701267350633674
28,13,370,53160,0.0069601203912716325
28,14,3490,66400,0.05256024096385542
28,19,2710,75820,0.03574254814033236
28,21,1550,61820,0.025072791976706563
28,23,170,66580,0.0025533193151096424
28,24,3230,68030,0.047479053358812286
28,27,1050,79890,0.013143071723619976
28,35,3310,61929,0.05344744065880834
28,38,100,68710,0.0014553922282055014
28,42,6920,65500,0.10564885496183206
28,54,4000,65109,0.061434495469205964
28,55,3010,61100,0.049263502454991816
28,57,3500,97480,0.0359048009848174
28,61,1560,66640,0.023409363745498193
28,64,3840,173910,0.022080386406762118
28,71,3090,42880,0.07206156716417911
28,72,1360,211350,0.006434823752070026
28,74,4140,65630,0.063080908121286
28,76,3970,63379,0.06263805616913853
28,78,160,105959,0.0015100037750094377
