Driver,Trip,Distance,SecInMotion
2,190,6031.478,188.1
2,190,8755.601,272.2
2,190,75.73167,3.4
2,190,165.362,8.4
2,190,1102.009,35.7
2,190,1890.224,53
2,204,11289.1,340.3
2,204,3036.75,88.9
2,205,3760.654,109.6
2,205,7125.901,218.5
2,205,3140.948,97.1
2,236,3049.715,85.2
2,236,22740.5,677.1
2,236,1157.866,37.8
2,236,417.8959,15.7
2,237,1809.163,64.9
2,237,22544.88,658
2,237,64.34612,3.5
2,237,1118.159,45.4
2,238,8713.82,226.4
2,249,15047.32,437.8
2,249,11710.67,342.3
2,249,1851.189,67.8
2,249,3273.804,92.4
2,249,5500.008,153.5
2,249,726.1315,22.2
2,253,914.9298,34.3
2,253,8101.623,243.7
2,253,22252.1,663.5
2,254,3749.186,114.5
2,254,22713.78,640.8
2,254,1175.845,38.6
2,254,5216.858,153.3
2,254,2150.439,60.2
2,254,15944.31,455.6
2,255,1149.13,40.3
2,255,3744.053,113.3
2,255,11109.4,339
2,255,10471.18,302.6
2,281,3742.959,111.1
2,281,1362.252,44.1
2,286,3640.54,124.4
2,286,14107.83,414.7
2,286,8635.09,274.3
2,286,4721.302,132.6
3,1,10474.29,355.9
3,159,8527.81,298.2
3,180,10572.77,372.7
4,2,5935.873,178.3
4,2,8021.313,235.4
4,6,5953.084,280.7
4,6,8069.78,248.7
4,6,5585.663,186.9
4,6,2238.583,75.4
4,6,5898.612,174.4
4,6,5945.485,193.5
4,6,8022.425,239.1
4,19,29835.16,837
4,19,8528.333,259.4
4,19,16414.49,460.5
4,19,2535.977,72.3
4,19,79.11362,2.2
4,19,2501.16,86
4,22,3181.196,97.3
4,22,17.88695,0.6
4,22,172.4522,7.6
4,22,2391.01,79.2
4,22,1554.284,50.7
4,22,13822.57,472.2
4,22,3298.942,95.5
4,22,1340.08,43.6
4,22,1448.352,43.5
4,22,91.26167,3
4,22,1788.992,64.3
4,22,26830.37,797
4,22,1790.039,58.7
4,30,17158.35,513.6
4,30,12498.61,373.8
4,30,8521.848,268.4
4,30,19023.65,569.1
4,30,38.53389,1.1
4,30,53.23639,1.6
4,30,4142.246,124.9
4,30,1001.399,34.3
