Driver,Trip,Lanechange,Distance,Frequency
1,8,25,122.416290111,0.20422118639056494
1,9,20,32.860220395,0.6086386445248309
1,10,8,26.5330955152,0.3015102401232093
1,14,12,57.33805696395,0.20928508281235841
1,16,12,51.0176149185,0.2352128773399119
1,20,3,8.08130147803,0.37122733363627936
1,29,4,14.94295057978,0.2676847506551073
1,30,2,11.231207448070002,0.17807524340080505
1,54,3,6.440903319129999,0.4657731767359028
1,56,14,33.62860964385,0.41631218620899246
1,58,14,34.88688637933,0.40129691849757065
1,69,5,8.934082714799999,0.5596545453644741
1,77,6,8.929782834400001,0.6719088371204656
1,79,6,12.528807583999999,0.478896332294411
1,86,5,11.81629876062,0.4231443450518892
1,89,1,6.4570968427,0.15486836024931838
1,109,1,9.153310749980001,0.10925008746176185
1,115,9,22.175882548039997,0.4058463053501093
1,119,6,27.93544434162,0.21478090438177921
1,120,5,22.95469527864,0.2178203604668472
1,123,41,268.77828173665,0.15254208686463722
1,131,2,6.7917294425,0.29447580574761684
1,132,7,61.94443122329999,0.11300450842410828
1,133,3,69.157548945,0.0433792123313372
1,134,30,145.683301796575,0.20592613999022708
1,144,2,5.4849696914,0.3646328261641705
1,146,2,4.75839429396,0.4203098516948609
1,155,1,4.2764591005899995,0.2338383172803022
1,157,1,9.537645493339998,0.1048476797232908
1,159,3,7.7404371585,0.3875750088230627
1,249,1,6.67871715238,0.14972935328510567
1,260,5,5.68535716681,0.879452223193473
1,265,2,8.875345851439999,0.225343331232045
1,268,3,4.73910759053,0.6330305743627344
1,269,2,4.28758908003,0.4664626116610051
1,279,6,26.0675216153,0.23017147884432468
1,281,9,23.384460930316997,0.38487096310746544
1,317,13,23.583683896210005,0.551228555182982
1,319,9,24.070924284503,0.3738950733102614
1,326,2,2.62150783492,0.7629197110757571
1,352,3,6.4907875241,0.46219353027057747
1,360,2,5.585513446826001,0.3580691406510732
1,361,4,8.079118108124,0.49510354304361254
1,365,4,6.67910675137,0.5988824776875338
1,380,4,10.5043020845189,0.3807963601784784
1,381,1,2.88988561573,0.34603445705839636
1,418,3,6.660984495320001,0.4503838737513645
2,1,5,9.91041405552,0.5045197881732348
2,4,4,2.8317135777,1.412572243005211
2,6,5,2.92986828975,1.706561355502653
2,17,3,2.993033035730001,1.0023277271539703
2,18,5,4.8945331987675,1.0215478773867663
2,20,3,5.1184322275800005,0.5861169722703162
2,23,1,2.9316739909700003,0.3411020471853799
2,27,3,2.9321132995599997,1.0231528230679856
2,28,1,2.40794234455,0.4152923354927261
2,29,10,14.31162064005,0.6987328864779819
2,30,9,11.471592510379999,0.7845466958363807
2,34,1,2.6092618749599996,0.38325014809612784
2,38,7,13.3882182173,0.5228477670728979
2,44,6,2.9301447994000003,2.0476803744404055
2,45,4,2.7881076952099995,1.4346648111448654
2,50,4,5.6543178712,0.7074239706921697
2,61,7,9.645709814149999,0.7257112368994542
2,62,3,2.8664108785,1.0466050148295236
2,63,4,2.82061777361,1.418129048687286
2,66,2,2.4365029952299997,0.8208485702317821
2,68,2,2.8651842941199996,0.6980353773767531
