Driver,Trip,TripTime,Distance
2,169,11430,3554.346
2,170,12390,3928.855
2,172,11260,3551.585
2,173,11300,3928.53
2,174,18020,4619.081
2,175,10940,3928.37
2,176,16420,4612.367
2,177,20130,4549.506
2,179,16820,4617.253
2,187,12670,3558.335
2,189,18310,4551.294
2,190,11860,3552.678
2,193,17320,4552.065
2,194,10790,3551.474
2,195,11240,3933.14
2,196,22980,4621.401
2,197,11690,3934.485
2,198,10560,3553.379
2,199,11060,3934.025
2,201,17750,4779.135
2,204,10860,3344.089
2,206,10730,3552.325
2,207,20830,4549.818
2,208,10460,3551.646
2,209,11810,3930.555
2,211,26770,4625.063
2,215,18820,4550.442
2,216,12170,3553.602
2,217,10950,3933.797
2,218,11450,3554.313
2,228,43770,4617.298
2,229,11740,3932.359
2,230,28870,4619.397
2,231,11220,3935.084
2,233,15460,4615.593
2,236,19770,4554.746
2,238,10380,3339.468
2,240,11790,3933.98
2,241,42350,4622.235
2,242,21910,4554.762
2,243,21340,4617.494
2,245,13340,4263.621
2,246,13780,3559.638
2,247,15630,4554.211
2,248,12480,3562.063
2,249,12980,3939.88
2,252,19020,4629.271
2,253,19240,4561.005
2,255,48370,4777.882
2,256,20790,4558.777
2,260,12550,3555.385
2,261,13090,3934.282
2,262,11050,3559.518
2,263,23980,4559.121
2,264,13340,3561.02
2,265,12170,3930.854
2,267,10830,3560.897
2,268,16620,4561.639
2,270,10940,3560.231
2,271,15640,4561.702
2,272,11850,3561.905
2,273,11650,3932.328
2,276,10730,3559.508
2,277,20210,4560.479
2,279,27960,4783.15
2,280,13540,4299.429
2,280,14860,4929.717
3,2,19100,5662.457
3,2,7190,1929.431
3,26,238600,76200.13
3,26,555210,141175.5
3,27,44690,14567.49
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,0,0
3,27,10,3.300781
3,27,0,0
3,27,30,9.904297
3,27,30,9.953125
3,27,30,9.960938
3,27,30,9.978516
3,27,30,10.01953
3,27,50,16.69922
3,27,30,10.06836
3,27,30,10.07813
3,27,30,10.08398
3,27,30,10.13477
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13477
3,27,30,10.08789
3,27,30,10.08398
3,27,30,10.0957
3,27,30,10.10547
3,27,30,10.13086
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.13672
3,27,30,10.14844
3,27,30,10.1582
3,27,30,10.16211
3,27,30,10.15625
3,27,30,10.1543
3,27,30,10.15625
3,27,30,10.16992
3,27,30,10.17773
3,27,30,10.18945
3,27,30,10.18164
3,27,970,328.2344
3,27,30,9.960938
3,27,30,9.902344
3,27,30,9.902344
3,27,30,9.902344
3,27,30,9.902344
3,27,30,9.894531
3,27,30,9.851563
3,27,30,9.84375
3,27,30,9.84375
3,27,30,9.84375
3,27,30,9.792969
3,27,30,9.785156
3,27,30,9.785156
3,27,30,9.785156
3,27,30,9.785156
3,27,30,9.785156
3,27,30,9.783203
3,27,30,9.783203
3,27,30,9.726563
3,27,30,9.726563
3,27,30,9.722656
