Event,Driver,Trip,Starttime,Endtime,TailgatingStarttime,TailgatingEndtime
1,1,1,33220,37970,34220,36820
2,1,1,115370,118810,116740,117810
3,1,1,120250,134110,122670,128600
4,1,1,120250,134110,128610,133110
5,1,1,139990,144790,140990,143790
6,1,16,91550,95670,92720,94160
7,1,43,128300,133100,129300,131880
8,1,48,152620,159310,153770,155410
9,1,48,152620,159310,155420,158310
10,1,48,244350,259950,245350,258950
11,1,48,244350,259950,253530,256750
12,1,48,403360,410080,404360,409080
13,1,48,607420,612590,608690,611590
14,1,49,69090,79350,70090,78350
15,1,49,185090,189410,186090,188410
16,1,49,202070,228230,203070,227230
17,1,49,252090,256440,253090,255440
18,1,49,302060,305190,303170,304190
19,1,49,419820,423230,421220,422230
20,1,53,249450,282710,250450,281710
21,1,53,306990,324720,309340,323720
22,1,53,383770,416390,392100,413800
23,1,53,450750,467100,455430,465220
24,1,54,20470,24320,21470,23320
25,1,54,36690,42080,37710,41050
26,1,54,113680,119790,114680,117350
27,1,54,222260,229560,223260,224600
28,1,54,222260,229560,224610,228560
29,1,54,584130,593660,585130,589580
30,1,55,105960,113380,106960,110310
31,1,55,155590,161830,156590,157970
32,1,55,155590,161830,157980,160830
33,1,65,107980,114920,108980,113920
34,1,65,191000,208360,192000,194340
35,1,102,121130,123810,122140,122810
36,1,102,122620,128400,124010,125710
37,1,174,116260,123260,117260,122260
38,2,37,41680,62080,44330,60340
39,2,39,56300,59500,57300,58500
40,2,39,85600,92650,86710,87720
41,2,39,105220,114270,106360,108660
42,2,39,183840,188410,184840,187410
43,2,39,191640,197560,192640,196440
44,2,78,40570,58280,41660,55540
45,2,78,40570,58280,44730,57280
46,2,78,80900,88320,81940,87320
47,2,78,88810,93390,89810,91370
48,2,78,88810,93390,91380,92390
49,2,78,91400,100110,92400,95960
50,2,78,91400,100110,95970,99110
51,2,80,157530,165620,158830,164620
52,2,87,75310,80810,77750,79810
53,2,87,78960,86510,79960,84670
54,2,87,78960,86510,81530,82900
55,2,87,125680,138410,127770,137410
56,2,87,125680,138410,129310,136100
57,2,87,158670,173040,160930,171510
58,2,90,112040,116460,113450,115460
59,2,90,114530,121590,115530,120590
60,2,90,114530,121590,117070,120230
61,2,91,49960,52570,50960,51560
62,2,91,128260,139400,129260,138400
63,2,126,18660,23940,19660,20600
64,2,131,228140,236150,230360,234030
65,2,132,60670,70260,64200,69130
66,2,132,60670,70260,67910,68720
67,2,132,70290,74800,71290,73800
68,2,132,139030,150780,142100,149780
69,2,137,52010,59540,53010,56450
70,2,137,52010,59540,56460,58540
71,2,137,57750,65870,58750,61320
72,2,137,57750,65870,61330,64870
73,2,137,113460,117710,114460,116020
74,2,137,113460,117710,116030,116710
75,2,137,155160,162460,158310,161460
76,2,137,187280,192600,190010,191600
77,2,138,58290,61670,59290,60670
78,2,138,86740,94090,88950,93090
79,2,139,60410,67020,61410,66020
80,2,139,81190,86070,84000,85070
81,2,139,84080,87010,85080,86000
82,2,139,85020,93800,86020,89480
83,2,139,85020,93800,89490,91880
84,2,139,108120,113840,110200,112840
85,2,139,111850,124890,112850,123890
86,2,139,111850,124890,121510,122290
87,2,148,42240,50800,43460,49800
88,2,148,48810,55970,49810,54970
89,2,148,48810,55970,52210,53030
90,2,148,72330,81290,73330,80290
91,2,148,86000,90170,87000,89170
92,2,150,14920,20140,17730,19130
93,2,150,18210,21440,19230,20440
94,2,150,19450,28360,20450,27360
95,2,150,27100,31130,28100,30130
96,2,174,73160,76710,74160,75710
97,2,175,47990,51980,48990,50980
98,2,187,34060,37700,35960,36700
99,2,188,56220,65180,57220,64180
100,2,188,63560,71340,65090,70340
101,2,190,70390,77870,71510,76870
102,2,190,76710,81430,77710,80430
103,2,190,110070,113110,111070,111970
104,2,190,138220,141790,139810,140740
105,2,190,180810,184720,181810,183720
106,2,190,192630,219540,194210,218540
107,2,190,217780,221250,219040,220250
108,2,204,32040,35240,33210,34240
109,2,205,16280,19000,17280,18000
110,2,236,151190,156760,152550,155760
111,2,236,154880,162960,155880,161960
112,2,236,171480,176010,174210,175010
113,2,237,123140,128810,125750,127810
114,2,237,189860,195850,190860,193470
115,2,249,37590,47000,40090,45030
116,2,249,65820,69220,66820,68220
117,2,249,67280,70670,68830,69670
118,2,249,69250,75780,70250,71480
119,2,249,69250,75780,71490,74780
120,2,249,98920,102950,99920,101950
121,2,253,123570,127730,125580,126730
122,2,253,125740,128850,126740,127850
123,2,253,161130,168610,162340,166130
124,2,253,188240,192700,189240,191290
125,2,254,42180,52370,44700,51370
126,2,254,87180,92090,89350,91090
127,2,254,91430,99710,92430,98710
128,2,254,127490,134770,129710,132800
129,2,254,127490,134770,132810,133770
130,2,254,145130,172250,147230,171120
131,2,254,145130,172250,151670,154880
132,2,255,231240,243540,234710,241000
133,2,255,231240,243540,241010,242540
134,2,255,252570,255280,253580,254280
135,2,255,256070,263270,257070,262270
136,2,255,263950,278060,264950,274350
137,2,255,263950,278060,274360,277060
138,2,281,43070,48230,44070,47190
139,2,286,49530,58220,50530,57220
140,2,286,49530,58220,52300,53660
141,2,286,61090,70310,63690,66840
142,2,286,61090,70310,66850,69310
143,2,286,72710,100410,75960,99410
144,3,159,12970,31100,17000,30100
145,4,6,30330,39660,31330,33750
146,4,6,30330,39660,32560,38660
147,4,6,38010,47940,40510,46940
148,4,6,66100,72890,69630,71890
149,4,6,389640,392740,390640,391740
150,4,6,391110,394900,392130,393900
151,4,19,345700,352600,347220,348760
152,4,19,345700,352600,348770,349830
153,4,22,137710,143060,139080,141680
154,4,22,142280,156460,146570,155460
155,4,22,187830,194130,188830,190820
156,4,30,135500,140790,138670,139790
157,4,30,182600,188050,183970,187050
158,4,30,205500,218180,206500,216770
159,4,31,128910,134410,131430,132360
160,4,31,156760,163450,157760,161490
161,4,31,241560,248300,245190,247300
162,4,33,60360,70920,61360,68140
163,4,33,60360,70920,64870,66750
164,4,33,60360,70920,68150,69920
165,4,33,69000,85070,70790,82850
166,4,33,69000,85070,82860,84070
167,4,33,126500,133360,127610,131230
168,4,33,126500,133360,131240,132360
169,4,33,162920,168380,165150,167380
170,4,33,166390,170700,167760,169700
171,4,33,168780,175130,169780,174130
172,4,33,173260,176120,174260,175120
173,4,33,262760,268390,265440,267390
174,4,38,45850,50650,47380,48970
175,4,38,45850,50650,48980,49650
176,4,38,96730,123080,97740,108480
177,4,38,96730,123080,108490,122080
178,4,38,127820,139610,129780,138610
179,4,38,155800,180590,166590,176850
180,4,38,155800,180590,176860,179590
181,4,38,178840,185870,179840,184870
182,4,38,190830,197520,195560,196520
183,4,38,196940,201650,198050,200650
184,4,38,199660,205100,201360,203560
185,4,38,246480,249390,247530,248390
186,4,38,259170,274340,260170,273290
187,4,38,272350,283000,273740,282000
188,4,41,147080,150620,148160,149620
189,4,41,179490,190070,183960,189070
190,4,41,188410,198780,189410,197780
191,4,41,196990,207060,197990,202260
192,4,41,196990,207060,202270,206060
193,4,41,268490,275570,271480,273230
194,4,41,268490,275570,273240,274570
195,4,46,31840,39080,35220,38080
196,4,46,51420,55940,52440,54940
197,4,46,54210,60480,57350,59480
198,4,46,58700,70460,59700,62270
199,4,46,58700,70460,62280,69460
200,4,46,88710,92350,90170,91350
201,4,46,212840,216520,214700,215520
202,4,46,252990,260900,254410,259190
203,4,46,252990,260900,255260,258470
204,4,46,300040,311260,301680,310260
205,4,49,94670,101110,95670,100110
206,4,49,204720,223580,205880,222580
207,4,49,275650,283720,276650,282720
208,4,49,300320,303140,301320,301960
209,4,49,301150,304240,302210,303240
210,4,49,354010,360780,355080,359720
211,4,49,358790,369190,360150,368120
212,4,74,55770,62910,56770,60140
213,4,74,55770,62910,60150,61910
214,4,74,60950,66610,61950,65610
215,4,77,106480,111850,110120,110830
216,4,80,187280,194280,188280,193280
217,4,80,192290,195500,193780,194420
218,4,80,252980,269280,253980,268280
219,4,80,295950,306500,297630,305500
220,4,80,304720,309060,305720,307030
221,4,80,304720,309060,307040,308060
222,4,80,320630,325830,321630,324830
223,4,80,320630,325830,321850,323190
224,4,80,348490,352610,349490,351610
225,4,81,212900,219260,213900,218260
226,4,83,125130,132330,127890,131330
227,4,83,153270,170560,154270,169560
228,4,83,153270,170560,154590,162130
229,4,83,193210,196650,194210,195530
230,4,83,207980,211380,209230,210380
231,4,83,287870,294660,290210,293660
232,4,83,287870,294660,291270,293110
233,4,83,357830,362770,358830,361470
234,4,85,70710,77630,71710,76630
235,4,85,75740,86640,76740,85640
236,4,85,75740,86640,80500,84450
237,4,85,84900,95600,85900,94600
238,4,85,93910,96690,94910,95690
239,4,85,94750,100110,95750,99110
240,4,85,98290,107580,99290,101440
241,4,85,98290,107580,101450,106580
242,4,85,124830,134200,127260,128130
243,4,85,141290,154330,142990,145970
244,4,85,141290,154330,143580,153330
245,4,85,152420,166810,153420,164980
246,4,85,207890,212860,208890,211860
247,4,85,241100,245400,242590,244400
248,4,85,258100,263360,260720,262360
249,4,85,269150,273300,271380,272000
250,4,85,271310,277640,272310,275120
251,4,85,277100,280160,278100,279160
252,4,85,278260,280910,279260,279910
253,4,97,10880,17320,12630,16220
254,4,97,10880,17320,13120,14790
255,4,97,37420,44750,38970,43750
256,4,97,96370,102170,97740,101170
257,4,97,100180,111930,101180,110930
258,4,97,111180,114860,112180,113860
259,4,97,146870,150690,147870,148480
260,4,97,146870,150690,148490,149690
261,4,97,172230,190280,174540,187300
262,4,97,199040,204440,201680,203440
263,4,97,224320,232750,226740,231750
264,4,99,81550,120640,82550,118640
265,4,99,81550,120640,93140,95530
266,4,99,209670,215780,211950,214780
267,4,99,231820,236890,232820,235890
268,4,99,303960,312100,305470,310930
269,4,121,35550,38970,36550,37930
270,4,121,87250,94380,88910,93380
271,4,121,92390,98690,93390,96200
272,4,121,92390,98690,96210,97690
273,4,122,80380,87130,81640,86130
274,4,122,94260,101150,96090,99380
275,4,124,80310,90390,83460,87280
276,4,124,80310,90390,87290,89390
277,4,124,94720,99090,95720,96760
278,4,124,94720,99090,96770,98090
279,4,124,99470,102470,100470,101470
280,4,125,139660,143820,140910,142820
281,4,125,211200,221900,212320,220890
282,4,126,75670,82470,76890,80810
283,4,126,93880,104760,97000,103760
284,4,126,102950,117390,103950,116390
285,4,126,115400,132000,116400,129930
286,4,126,115400,132000,129940,131000
287,4,126,220450,238270,222370,237270
288,4,126,236280,241300,237490,240300
289,4,126,239430,242390,240430,241390
290,4,126,240590,244250,241590,243250
291,4,129,70230,74870,71250,73870
292,4,129,72980,76080,73980,75070
293,4,129,170280,173020,171280,172020
294,4,129,191060,195920,193130,194920
295,4,129,246890,252090,249990,250840
296,4,140,37090,40840,38090,39840
297,4,140,146250,164090,148100,163090
298,4,140,146250,164090,156580,159600
299,4,140,339410,348860,340440,347150
300,4,148,23590,27280,25600,26280
301,4,148,45050,51050,47790,50050
302,4,148,79290,86900,80290,85900
303,4,148,85080,112560,88070,111560
304,4,148,85080,112560,101860,108680
305,4,148,139460,144730,142140,143730
306,4,148,173120,202200,183160,201180
307,4,148,173120,202200,183380,200750
308,4,148,200210,206560,202720,205560
309,4,148,231860,243480,232860,242480
310,4,148,231860,243480,235350,239850
311,4,148,242830,253650,244990,245590
312,4,148,242830,253650,248450,252650
313,4,148,259880,264230,260880,263230
314,4,151,47600,66910,48600,64220
315,4,151,76800,81740,79720,80600
316,4,151,93960,104560,95500,103430
317,4,151,120890,126210,121890,125210
318,4,151,319270,327890,320270,326240
319,4,151,319270,327890,321440,323380
320,4,158,85060,92480,88360,91480
321,4,160,25450,30770,26450,28160
322,4,160,25450,30770,28170,29770
323,4,160,33170,38440,35920,37440
324,4,163,36460,50340,37460,46920
325,4,163,36460,50340,37510,49340
326,4,163,48350,53920,49350,52920
327,4,163,73270,82960,74270,81770
328,4,163,87290,99900,89880,98900
329,4,163,119780,124180,121590,123180
330,4,163,202530,213030,203530,212030
331,4,163,221890,228030,224550,227030
332,4,163,227190,234240,228190,233240
333,4,163,227190,234240,228890,231920
334,4,167,65700,75170,66700,74170
335,4,167,87090,89980,88090,88980
336,4,169,50220,63040,51220,62040
337,4,169,159180,167950,162100,166930
338,4,177,133340,137030,134340,136030
339,4,177,135640,139890,136640,138890
340,4,177,137900,143030,138900,141070
341,4,177,137900,143030,141080,142030
342,4,177,141040,153430,142040,152410
343,4,177,152490,157730,153490,155040
344,4,177,155880,159720,157360,158370
345,4,177,190880,196360,193570,195360
346,4,186,50820,56080,52990,55080
347,4,186,116600,127950,117690,126500
348,4,186,201090,213560,202090,210070
349,4,187,204500,223770,205690,206980
350,4,187,204500,223770,206990,222770
351,4,189,36480,46130,37700,45130
352,4,189,64940,69570,67770,68570
353,4,189,67620,72290,68620,71290
354,4,189,205650,227150,206650,226150
355,4,189,205650,227150,211550,225400
356,4,189,242180,263520,243270,261300
357,4,189,242180,263520,249480,262520
358,4,194,144330,148690,145640,147160
359,4,194,146700,150130,147700,149130
360,4,194,148140,161080,149140,156840
361,4,194,148140,161080,156850,159780
362,4,194,290910,301680,292350,300680
363,4,194,300990,305930,301990,304930
364,4,194,304270,308420,305690,307420
365,4,194,310920,318980,312530,314840
366,4,194,310920,318980,314850,317980
367,4,194,765810,776050,769170,775050
368,4,194,817570,821550,819610,820550
369,4,199,104120,110180,105500,108390
370,4,199,104120,110180,108400,109180
371,4,199,130060,141510,131060,140510
372,4,199,139650,142890,140650,141890
373,4,199,211360,219370,212380,218370
374,4,199,211360,219370,214310,217800
375,4,199,217420,223930,218420,222930
376,4,199,222080,225930,223080,224930
377,4,199,223940,233050,224940,226090
378,4,199,223940,233050,226100,232050
379,4,201,27400,32360,28410,30460
380,4,201,97660,101890,98660,100890
381,4,201,142430,145630,143430,144630
382,4,205,54390,58010,56200,57010
383,4,205,66930,80110,67930,79110
384,4,205,95260,112430,98350,109470
385,4,205,95260,112430,109480,111430
386,4,205,113720,135390,116210,134390
387,4,205,113720,135390,117090,120810
388,4,205,142110,147290,143110,145190
389,4,205,142110,147290,145200,146290
390,4,205,145440,148540,146440,147540
391,4,205,146640,149400,147640,148400
392,4,205,148940,152180,149980,151180
393,4,205,174220,177160,175220,176160
394,4,205,176570,179730,178050,178710
395,4,205,252820,266820,253820,265680
396,4,205,252820,266820,257600,262450
397,4,205,280560,305860,281560,288600
398,4,205,280560,305860,288610,304860
399,4,205,325560,328470,326720,327470
400,4,207,60980,65610,62460,63790
401,4,207,105810,111990,106810,110990
402,4,207,110350,113100,111420,112100
403,4,207,175200,183860,176200,182530
404,4,207,218110,221570,219110,220030
405,4,208,56680,76490,59210,75490
406,4,208,56680,76490,59930,63770
407,4,208,76270,96160,77270,87550
408,4,208,76270,96160,87560,95160
409,4,208,96600,104100,97600,103100
410,4,208,103740,106440,104740,105390
411,4,208,194620,204040,198250,203040
412,4,235,222810,226020,223810,225020
413,4,239,82790,85540,83790,84540
414,4,239,83580,101990,84580,100990
415,4,239,83580,101990,99770,100860
416,4,239,100060,103630,101060,102630
417,4,239,101640,111720,102640,110720
418,4,239,111530,118740,112530,117740
419,4,239,220070,230370,221730,222530
420,4,239,220070,230370,222540,229370
421,4,239,228440,232620,229440,231390
422,4,242,73200,83330,74980,81030
423,4,242,73200,83330,81040,82330
424,4,242,81340,86460,82420,85460
425,4,242,99020,113180,100020,112180
426,4,242,187510,190880,188510,189880
427,4,242,188970,198140,189970,197140
428,4,242,196190,200600,197190,199600
429,4,251,184680,195610,185680,188840
430,4,251,184680,195610,188850,191510
431,4,251,283650,305870,284650,304870
432,4,251,305730,309320,306730,308320
433,4,251,390220,394000,391870,392820
434,4,251,392010,396200,393010,395200
435,4,252,82890,103690,84180,98120
436,4,252,82890,103690,98130,102690
437,4,252,306130,316090,307130,315090
438,4,279,84670,101460,86430,100460
439,4,279,102450,114230,103450,113230
440,4,279,102450,114230,106880,109660
441,4,279,112240,115410,113240,114350
442,4,291,90610,112900,91680,111900
443,4,294,131500,137580,133510,136580
444,4,294,135650,143060,136650,142060
445,4,294,303650,309300,305480,308300
446,4,294,317070,322520,318850,319630
447,4,294,323510,328160,324520,327160
448,4,296,87910,92390,88910,91390
449,4,296,87910,92390,89550,91310
450,4,296,108300,118770,109300,117770
451,4,296,108300,118770,114160,115090
452,4,296,181860,190430,182860,189430
453,4,296,191050,199620,192870,198620
454,4,296,204780,226810,206230,225810
455,4,296,232010,239570,233010,238310
456,5,1,26940,34310,29050,33310
457,5,1,34570,40010,37030,38980
458,5,1,43120,50630,44150,47960
459,5,1,43120,50630,47970,48890
460,5,6,43760,50270,46530,48310
461,5,9,48690,52240,49690,51240
462,5,9,65060,68100,66270,67100
463,5,9,89090,96160,92440,95160
464,5,9,94270,114720,95270,104130
465,5,9,94270,114720,104140,113720
466,5,14,39680,73560,40680,72560
467,5,14,81730,85840,82730,84840
468,5,14,84050,87850,85050,86850
469,5,14,85860,92220,86860,91220
470,5,14,90290,94620,91290,93620
471,5,14,111070,113850,112070,112850
472,5,18,86580,91960,89620,90960
473,5,18,123450,133390,124450,126670
474,5,18,123450,133390,126680,132390
475,5,18,131480,144140,133230,143140
476,5,18,142280,154530,143280,153120
477,5,18,167540,176880,170650,175880
478,5,19,6940,15670,9510,10950
479,5,19,69790,78890,70790,77430
480,5,19,69790,78890,74700,77890
481,5,19,77010,79880,78010,78880
482,5,19,93540,97460,94540,96460
483,5,19,111450,116850,114100,115850
484,5,19,114980,117750,115980,116750
485,5,19,140810,144530,142590,143470
486,5,19,142770,150650,144640,149650
487,5,20,83500,89410,84500,88410
488,5,20,140610,145990,143770,144990
489,5,20,147550,152380,148550,151230
490,5,20,154760,160560,156010,157750
491,5,21,16780,23580,20130,22580
492,5,21,75040,82700,76040,81700
493,5,21,100940,103550,101940,102550
494,5,21,103260,109460,104690,108460
495,5,22,63620,71600,65540,70600
496,5,22,137080,140560,138510,139340
497,5,22,178020,180720,179020,179720
498,5,22,178730,189990,179730,188990
499,5,25,220460,227660,221590,226660
500,5,25,229400,258670,230400,257670
501,5,25,229400,258670,233660,256000
502,5,25,256680,259590,257680,258590
503,5,25,257600,261690,258600,260690
504,5,25,262460,274580,263460,273580
505,5,25,262460,274580,266860,271800
506,5,25,272590,281010,273590,277480
507,5,25,272590,281010,277490,280010
508,5,25,282630,287050,283730,286050
509,5,25,297980,308550,298980,307550
510,5,25,306560,312060,307560,311060
511,5,25,310070,315280,311070,314280
512,5,25,310070,315280,313280,314030
513,5,25,323580,329660,324740,328660
514,5,25,327770,332320,328770,331320
515,5,25,330330,346090,331660,345090
516,5,25,344100,347120,345100,346120
517,5,26,61400,73520,62400,72520
518,5,28,19210,29530,21240,28530
519,5,28,120900,137560,121900,136560
520,5,28,135570,146720,136570,145720
521,5,28,148950,152910,150510,151720
522,5,49,71790,76590,74470,75590
523,5,57,48030,51750,49520,50750
524,5,57,49980,53700,50990,52410
525,5,57,82400,86120,83400,84960
526,5,57,84180,89670,85180,88670
527,5,62,21030,26290,24320,25110
528,5,63,21920,28360,22920,27360
529,5,73,43230,46730,44320,45730
530,5,73,48530,52240,49530,51240
531,5,82,50510,54080,51690,53080
532,5,84,22010,28470,23010,27090
533,5,93,84580,90630,85580,89630
534,5,93,88780,92090,89780,91090
535,5,96,43560,61410,44560,60410
536,5,96,59420,64620,60670,63620
537,5,102,57150,62350,58950,61350
538,5,105,29400,32430,30400,31430
539,5,105,30500,34150,31500,33150
540,5,105,32240,35160,33240,34160
541,5,105,169920,173360,170920,171550
542,5,109,65060,72620,66060,70590
543,5,112,46060,49760,47060,48760
544,5,113,37940,43540,40850,42330
545,5,122,49410,62960,50410,55270
546,5,122,49410,62960,55280,61960
547,5,122,60970,83770,61970,82770
548,5,122,60970,83770,62830,69260
549,5,122,81780,85830,82780,84830
550,5,122,83840,87140,85150,86140
551,5,122,87590,91450,88630,90450
552,5,122,92190,110030,93330,109030
553,5,122,92190,110030,96100,108350
554,5,122,108040,124160,109040,123160
555,5,122,122170,139800,123230,138800
556,5,122,137890,141060,138890,140060
557,5,122,139220,148030,140220,147030
558,5,122,167780,172890,170660,171810
559,5,122,183990,187520,184990,186520
560,5,122,206330,222120,207330,221120
561,5,122,220980,224000,221980,223000
562,5,125,125070,134890,126070,132710
563,5,125,134300,139410,135300,137530
564,5,125,148990,158260,150060,157260
565,5,125,271320,277240,272320,274230
566,5,125,314210,326460,316400,320760
567,5,125,314210,326460,320770,325460
568,5,125,351500,360870,352500,359870
569,5,126,122660,131420,124280,128640
570,5,128,66140,78900,67140,77890
571,5,129,40030,45630,41510,44630
572,5,131,14410,18930,15460,17930
573,5,137,27130,30040,28220,29040
574,5,137,92490,107470,93940,97910
575,5,137,92490,107470,97920,106470
576,5,143,24960,27860,26160,26860
577,5,145,104060,111660,106110,107660
578,5,145,140470,146560,141480,144260
579,5,146,27620,31130,28620,30130
580,5,147,45580,54370,47080,53370
581,5,147,85940,90350,87420,89350
582,5,147,88360,92490,89360,90740
583,5,147,90500,96210,91500,92470
584,5,147,130710,134870,131710,133870
585,5,147,162680,168900,163680,167170
586,5,163,96800,99900,97800,98900
587,5,163,116970,121460,119210,120460
588,5,163,128900,135370,131340,134020
589,5,163,137930,144210,138930,143210
590,5,163,142220,144980,143330,143980
591,5,166,229590,236920,230590,234400
592,5,170,25450,29980,26570,27540
593,5,170,25450,29980,27550,28980
594,5,172,128880,145360,131320,138770
595,5,172,128880,145360,133530,138500
596,5,175,58050,74190,59050,65960
597,5,175,58050,74190,66530,73020
598,5,182,57890,61540,58890,60540
599,5,184,13100,19460,16390,18460
600,5,184,43070,55690,44150,54690
601,5,184,111410,123630,112410,121770
602,5,184,111410,123630,113550,122630
603,5,186,22630,29870,23630,25800
604,5,186,22630,29870,25810,26650
605,5,186,27880,37190,31890,36190
606,5,186,36720,51270,39980,50270
607,5,186,49280,66050,50960,65050
608,5,186,71300,75500,72300,74500
609,5,186,74210,98690,75210,97580
610,5,186,74210,98690,77550,96850
611,5,189,13000,20010,14000,18080
612,5,195,34110,38900,35110,37900
613,5,195,36940,41780,37940,40070
614,5,195,44400,58570,45400,57430
615,5,208,16400,22150,20150,20870
616,5,208,24230,28910,27120,27910
617,5,208,34090,41610,35090,40610
618,5,208,61380,66650,62380,65650
619,5,208,69090,76570,70090,73250
620,5,208,69090,76570,73260,75570
621,5,208,82410,88770,83410,87770
622,5,208,88110,90910,89120,89900
623,5,208,88920,92110,89920,91110
624,5,211,101630,107790,102780,106790
625,5,211,126710,133440,127760,132440
626,5,211,145550,158890,150090,157890
627,5,212,20120,40340,21960,38630
628,5,212,20120,40340,28570,39340
629,5,212,98610,105130,99610,104130
630,5,212,108070,114450,109070,111700
631,5,212,115530,120410,116530,117460
632,5,212,115530,120410,117470,119410
633,5,212,142410,148100,143410,146150
634,5,212,142410,148100,146160,147100
635,5,212,146110,149510,147110,148510
636,6,1,343660,348490,344660,347490
637,6,1,360310,368800,361310,367590
638,6,12,104590,110170,105590,107360
639,6,12,108230,126860,109970,125240
640,6,12,212130,219410,213130,218410
641,6,15,334580,363750,335580,362580
642,6,15,334580,363750,336740,362340
643,6,15,384300,397530,385300,395870
644,6,15,384300,397530,395880,396530
645,6,48,60920,73830,61920,70400
646,6,48,93600,113910,94770,110830
647,6,48,227830,237190,228840,236190
648,6,48,255300,261360,256800,259420
649,6,49,128930,138810,129930,137760
650,6,49,194710,198560,196620,197560
651,6,49,213600,225460,214930,215580
652,6,49,213600,225460,215590,222870
653,6,49,223540,240900,225970,239900
654,6,49,223540,240900,234110,235620
655,6,49,238910,256220,239960,255220
656,6,49,254230,303240,255230,301990
657,6,49,302940,307490,303940,305430
658,6,61,188440,191430,189440,190430
659,6,61,191550,196140,192720,195140
660,6,61,194260,197640,195260,196640
661,6,84,61030,67810,62030,66810
662,6,84,115690,119550,116820,118550
663,6,85,259610,267560,263130,266560
664,6,85,285740,297970,287410,296970
665,6,85,299250,323470,300250,322340
666,6,85,299250,323470,312400,315750
667,6,126,27480,43110,28480,42110
668,6,126,131420,142100,132650,141100
669,6,126,145010,156110,146010,152470
670,6,126,156280,166980,158570,165980
671,6,126,156280,166980,161840,164120
672,6,130,64680,70400,65680,69400
673,6,161,51090,108730,52090,107730
674,6,161,110870,123110,111870,122110
675,6,161,131420,156360,140370,154600
676,6,161,155820,172830,157810,169060
677,6,161,170840,188500,171840,187500
678,6,161,170840,188500,174410,187220
679,6,161,186510,192530,187510,191530
680,6,161,190830,198260,193270,196550
681,6,164,134020,144150,135020,140560
682,6,164,134020,144150,140570,143150
683,6,164,198560,201280,199560,200280
684,6,164,216020,219940,217020,218940
685,6,172,44440,56180,47230,55180
686,6,172,214470,222380,217640,221370
687,7,12,130680,147920,131880,138970
688,7,12,145930,157520,146930,156350
689,7,12,204590,210450,205590,209450
690,7,12,217230,230800,219770,229800
691,7,12,217230,230800,226580,229670
692,7,12,229910,236080,230910,235080
693,7,15,71680,76370,72680,75370
694,7,15,117100,135810,119380,134810
695,7,36,87420,95060,93320,94030
696,7,36,93070,98320,94070,95770
697,7,36,93070,98320,95780,97320
698,7,37,111170,137590,112290,136590
699,7,37,111170,137590,115220,129650
700,7,37,148180,157090,149180,156090
701,7,37,264880,270520,265880,269230
702,7,38,115580,119170,116580,118170
703,7,43,74450,84180,75690,83180
704,7,67,58100,66860,59160,59770
705,7,67,58100,66860,59780,65860
706,7,73,194710,200260,196850,199260
707,7,73,225130,245740,227270,244740
708,7,73,243750,256660,244750,255660
709,7,73,266990,271120,267990,270120
710,7,73,430880,442780,432100,441780
711,7,73,440790,443820,441790,442820
712,7,73,466930,471490,467930,470490
713,7,73,486280,492120,487300,491120
714,7,80,201370,217270,202370,211140
715,7,80,271790,277740,272790,276740
716,7,81,61310,69030,62310,68030
717,7,81,192780,196110,193780,194910
718,7,93,77160,83090,78160,82090
719,8,22,166520,178430,167520,168950
720,8,22,166520,178430,168960,177430
721,8,22,176440,180830,177440,178750
722,8,22,176440,180830,178760,179630
723,8,24,97150,104160,100740,103160
724,8,76,22650,31710,25040,30710
725,8,76,31110,34050,32110,33020
726,8,76,38550,43290,41140,42290
727,8,76,64600,68280,65750,67280
728,8,76,68260,73260,69260,72260
729,8,76,68260,73260,71280,72040
730,8,76,71420,75000,72740,74000
731,8,76,77450,82300,80110,81300
732,8,76,221130,257780,223450,235900
733,8,76,221130,257780,235910,256780
734,8,76,347780,354890,348780,353890
735,8,76,359010,379390,360160,378390
736,8,76,410210,433730,414910,432730
737,8,76,432890,492510,433890,475890
738,8,76,432890,492510,437600,491510
739,8,77,41220,76710,42220,64790
740,8,77,41220,76710,64800,75710
741,8,77,84000,163070,87110,162070
742,8,77,161080,174710,162450,173710
743,8,77,172720,206380,174570,203560
744,8,77,172720,206380,185270,205380
745,8,77,287100,304790,288990,303790
746,8,77,287100,304790,300100,302090
747,8,77,302800,319420,303800,312360
748,8,77,302800,319420,312370,318420
749,8,77,319000,323340,320000,322340
750,8,77,328100,347650,331450,345400
751,8,77,328100,347650,336270,346650
752,8,77,345660,378290,347870,377290
753,8,77,345660,378290,352140,365110
754,8,77,407290,419410,410330,418410
755,8,77,417490,424990,418490,423990
756,8,77,423030,442690,424030,441690
757,8,77,445010,454090,446010,452170
758,8,77,454390,468560,455390,467560
759,8,77,476930,483000,477930,480420
760,8,77,594340,601210,595800,600210
761,8,77,601320,619490,606140,618330
762,8,77,633070,641040,636500,640040
763,8,77,639050,673890,640050,645650
764,8,77,639050,673890,645660,672890
765,8,77,671900,680140,673470,679140
766,8,77,678570,681900,679570,680870
767,8,77,694250,707820,695250,702190
768,8,77,694250,707820,702200,706820
769,8,77,708240,715080,709240,712200
770,8,77,708240,715080,712890,714080
771,8,77,755790,762870,758970,761870
772,8,78,24720,84780,25720,83780
773,8,78,24720,84780,38490,49300
774,8,78,82880,100180,83880,99060
775,8,78,98190,104980,100320,103980
