Event,Driver,Trip,Starttime,Endtime
492,25,26,166860,167120
493,25,38,32020,32420
494,25,70,24530,25750
495,25,92,33710,35110
496,25,140,50820,51230
497,25,144,54110,55040
498,25,169,42640,43410
499,25,177,41140,41560
500,25,183,52960,53750
501,25,183,53990,54340
502,25,202,42670,43410
503,25,214,50890,51850
504,26,1,132910,133220
505,26,38,11140,12080
506,26,78,56720,57280
507,26,78,78400,78830
508,26,122,92620,93210
509,26,140,28370,30300
510,26,144,105700,107100
511,26,144,127310,127880
512,26,145,93950,95640
513,26,147,96500,98340
514,26,150,118780,120180
515,26,157,114360,115000
516,26,160,88900,89100
517,26,160,98090,98170
518,26,160,101590,104730
519,26,163,98560,100030
520,26,166,28520,28720
521,26,170,96350,97070
522,26,170,107600,108140
523,26,170,150190,151050
524,27,2,60610,62070
525,27,24,145660,149780
526,27,27,58660,59010
527,27,30,78130,79100
528,27,38,73940,75640
529,27,45,58140,58960
530,27,55,64840,64990
531,27,56,56310,57090
532,27,63,52990,57600
533,27,84,54480,55070
534,27,84,59460,59880
535,27,88,52310,57720
536,27,89,62880,63180
537,27,89,63360,63700
538,27,98,49020,50570
539,27,101,187150,187850
540,27,117,49090,52610
541,27,151,72040,72260
542,27,151,88310,88800
543,27,163,52820,53210
544,27,178,56830,57380
545,27,179,45170,45580
546,27,185,287560,289620
547,27,190,45170,45720
548,27,190,68130,69430
549,27,190,82620,83070
550,27,190,84850,85390
551,27,201,49480,52130
552,27,204,81570,81910
553,27,214,234600,235120
554,27,214,475570,476390
555,27,214,477420,478720
556,27,214,486780,487970
557,27,231,51480,53760
558,27,238,75030,80390
559,27,262,7810,8040
560,27,262,10870,11240
561,27,263,40830,41170
562,27,268,48890,53170
563,27,325,27390,28000
564,27,372,33820,34780
565,27,393,79600,79940
566,29,63,55340,57320
567,29,85,101030,103300
568,29,132,84200,84530
569,29,212,94980,96280
570,29,309,179520,180160
571,29,337,121080,123360
572,29,380,56610,56870
573,29,380,65820,66110
574,29,380,70640,70960
575,29,380,109990,112240
576,29,429,89440,89980
577,29,445,100680,103150
578,29,480,63160,64060
579,29,605,210810,212030
580,29,630,63080,63700
581,29,630,85540,86430
582,29,630,121530,122060
583,29,630,157800,160160
584,31,143,139240,139970
585,31,143,156990,157260
586,31,499,77140,77550
587,31,505,26700,27350
588,31,543,104270,104790
589,31,543,105340,106360
590,31,543,268900,270020
591,31,546,65610,66140
592,31,555,46730,47660
593,33,39,133570,133990
594,33,41,41630,41890
595,33,199,33780,34620
596,33,199,119890,120210
597,33,200,40690,41850
598,33,200,48690,49490
599,33,352,81370,81730
600,33,360,16280,16600
601,33,360,19200,20370
602,33,379,22120,22950
603,33,379,37400,37680
604,33,384,18230,18810
605,33,444,22350,24810
606,33,464,40000,40840
607,34,9,39770,40730
608,34,15,119570,120380
609,34,15,121480,122260
610,34,27,35490,36500
