Event,Driver,Trip,Starttime,Endtime,LaneChangeStarttime,LaneChangeEndtime,DerivedEndtime
19999,90,331,116610,118550,118110,118130,118250
20000,90,331,137260,139270,138760,138780,138970
20001,90,331,142150,144150,143650,143670,143850
20002,90,331,156640,158470,158140,158160,158170
20003,90,331,161180,163190,162680,162700,162890
20004,90,332,33630,35620,35130,35150,35320
20005,90,332,49420,51420,50920,50940,51120
20006,90,332,56620,58530,58120,58150,58230
20007,90,332,73510,75340,75010,75030,75040
20008,90,332,77020,79190,78520,78540,78890
20009,90,332,93330,95330,94830,94850,95030
20010,90,332,93360,96670,94860,96360,96370
20011,90,332,94870,97060,96370,96390,96760
20012,90,332,108380,110320,109880,109900,110020
20013,90,332,112780,114780,114280,114300,114480
20014,90,332,118440,120440,119940,119960,120140
20015,90,332,122450,124570,123950,123970,124270
20016,90,332,127310,129270,128810,128830,128970
20017,91,1,20130,22130,21630,21650,21830
20018,91,1,24810,26810,26310,26330,26510
20019,91,1,33090,35000,34590,34610,34700
20020,91,1,33590,35560,35090,35110,35260
20021,91,1,57570,59400,59070,59090,59100
20022,91,1,65600,67490,67100,67120,67190
20023,91,1,70880,72720,72380,72400,72420
20024,91,1,72580,74550,74080,74100,74250
20025,91,1,97160,99170,98660,98680,98870
20026,91,3,44580,46590,46080,46100,46290
20027,91,3,58150,60000,59650,59670,59700
20028,91,3,62470,64470,63970,63990,64170
20029,91,129,54830,56830,56330,56350,56530
20030,91,135,67550,69380,69050,69070,69080
20031,91,135,69450,71280,70950,70970,70980
20032,91,135,72900,74900,74400,74420,74600
20033,91,135,82640,84530,84140,84160,84230
20034,91,135,225420,227450,226920,226940,227150
20035,91,135,227880,229880,229380,229400,229580
20036,91,135,234750,236670,236250,236270,236370
20037,91,135,240970,243100,242470,242490,242800
20038,91,135,242690,244550,244190,244220,244250
20039,91,279,55960,57960,57460,57480,57660
20040,91,279,75480,77330,76980,77000,77030
20041,91,279,80310,82310,81810,81830,82010
20042,91,280,65580,67830,67080,67110,67530
20043,91,292,142610,144730,144110,144130,144430
20044,91,292,144560,146460,146060,146080,146160
20045,91,292,148380,150390,149880,149900,150090
20046,91,292,149720,151620,151220,151240,151320
20047,91,292,192260,194280,193760,193780,193980
20048,91,292,197940,199970,199440,199460,199670
20049,91,292,246050,248060,247550,247570,247760
20050,91,292,249470,251470,250970,250990,251170
20051,92,1,75960,77960,77460,77490,77660
20052,92,1,80490,82490,81990,82010,82190
20053,92,1,82620,84620,84120,84140,84320
20054,92,1,85080,87090,86580,86600,86790
20055,92,1,111430,113320,112930,112950,113020
20056,92,1,118100,120060,119600,119620,119760
20057,92,1,118130,120400,119630,120090,120100
20058,92,1,118600,120510,120100,120120,120210
20059,92,1,126380,128380,127880,127900,128080
20060,92,1,128960,130960,130460,130480,130660
20061,92,1,132750,134710,134250,134270,134410
