Driver,Trip,Week,AgeGroup,Cluster
8,22,1,2,0
8,24,1,2,0
8,45,2,2,0
8,76,2,2,0
8,77,2,2,0
8,78,2,2,0
8,80,2,2,0
8,81,2,2,0
8,82,2,2,0
8,84,2,2,0
8,85,2,2,0
11,1,1,2,0
12,1,1,2,0
12,37,2,2,0
12,38,2,2,0
13,1,1,2,0
13,8,1,2,0
13,9,1,2,0
13,33,2,2,0
13,34,2,2,0
13,38,2,2,0
13,40,2,2,0
13,42,2,2,0
13,43,2,2,0
13,46,2,2,0
13,47,2,2,0
13,54,2,2,0
14,1,1,2,0
14,6,1,2,1
14,8,1,2,1
14,28,1,2,1
14,53,2,2,1
14,57,2,2,1
14,58,2,2,1
14,68,2,2,1
18,1,1,2,0
18,2,1,2,1
18,18,1,2,0
18,19,1,2,0
18,25,1,2,0
18,27,1,2,0
18,28,1,2,0
18,29,1,2,0
18,30,1,2,0
18,32,1,2,0
18,33,1,2,0
18,34,2,2,0
18,36,2,2,0
18,37,2,2,0
18,43,2,2,0
18,48,2,2,0
18,49,2,2,0
18,50,2,2,0
18,52,2,2,0
18,53,2,2,0
18,62,2,2,1
18,65,2,2,1
18,68,2,2,1
18,71,2,2,1
18,78,2,2,0
18,80,2,2,0
20,1,1,2,0
20,4,1,2,1
20,18,1,2,0
20,19,1,2,0
20,20,1,2,0
20,21,1,2,0
20,22,1,2,1
20,23,1,2,0
20,29,1,2,0
20,33,1,2,0
20,34,1,2,0
20,38,1,2,0
20,39,1,2,0
20,40,1,2,0
20,43,1,2,0
20,45,1,2,0
20,48,2,2,0
20,52,2,2,0
20,55,2,2,0
20,62,2,2,0
20,67,2,2,0
20,70,2,2,0
20,73,2,2,0
20,74,2,2,0
20,78,2,2,0
20,79,2,2,0
20,88,2,2,0
20,91,2,2,0
20,93,2,2,0
21,1,1,2,0
21,2,1,2,0
21,4,1,2,0
21,5,1,2,0
21,7,1,2,0
21,12,1,2,0
21,21,1,2,0
21,22,1,2,0
21,23,1,2,0
21,26,2,2,0
21,27,2,2,0
21,28,2,2,1
21,32,2,2,0
21,35,2,2,0
21,36,2,2,0
21,37,2,2,0
21,39,2,2,0
21,40,2,2,1
21,41,2,2,1
21,42,2,2,0
21,43,2,2,0
21,44,2,2,0
21,46,2,2,0
21,47,2,2,0
21,49,2,2,0
21,50,2,2,0
21,54,2,2,0
22,1,1,2,0
22,3,1,2,0
22,5,1,2,0
22,8,1,2,0
22,13,1,2,0
22,16,2,2,0
22,17,2,2,0
22,18,2,2,0
22,22,2,2,0
22,27,2,2,0
22,29,2,2,0
22,31,2,2,0
22,33,2,2,0
22,37,2,2,0
22,41,2,2,0
22,43,2,2,0
22,44,2,2,0
22,46,2,2,0
22,47,2,2,0
23,1,1,2,0
23,5,1,2,0
23,6,1,2,0
23,19,1,2,0
23,21,1,2,0
23,38,2,2,0
23,40,2,2,0
23,50,2,2,0
27,1,1,2,0
27,4,1,2,1
27,5,1,2,1
27,6,1,2,0
27,7,1,2,0
27,8,1,2,1
27,10,1,2,1
27,11,1,2,1
27,12,1,2,0
27,13,2,2,1
27,15,2,2,1
27,17,2,2,1
27,18,2,2,0
27,19,2,2,0
27,20,2,2,0
27,21,2,2,1
27,25,2,2,0
27,26,2,2,1
27,27,2,2,1
27,28,2,2,0
27,29,2,2,1
27,30,2,2,1
28,1,1,2,0
28,4,1,2,0
28,5,1,2,0
28,13,1,2,0
28,14,1,2,0
28,19,1,2,0
28,21,1,2,0
28,23,2,2,0
28,24,2,2,0
28,27,2,2,0
28,30,2,2,0
28,33,2,2,0
28,35,2,2,0
28,38,2,2,0
28,39,2,2,0
28,42,2,2,0
28,43,2,2,0
28,48,2,2,0
28,49,2,2,0
28,54,2,2,0
29,2,1,2,0
29,3,1,2,1
29,4,1,2,0
29,6,1,2,0
29,7,1,2,0
29,13,1,2,1
29,16,1,2,0
29,21,1,2,0
29,23,1,2,1
29,46,2,2,1
29,48,2,2,0
29,54,2,2,1
29,59,2,2,0
29,62,2,2,1
29,63,2,2,1
29,64,2,2,1
29,68,2,2,1
29,69,2,2,0
30,1,1,2,0
30,3,1,2,0
30,4,1,2,0
30,13,1,2,0
30,20,1,2,0
30,23,1,2,0
30,30,1,2,0
30,57,2,2,0
30,58,2,2,0
30,69,2,2,0
30,70,2,2,0
30,72,2,2,0
31,1,1,2,1
31,2,1,2,0
31,9,1,2,0
31,11,1,2,0
31,12,1,2,0
31,13,1,2,0
31,17,1,2,1
31,18,1,2,0
31,19,1,2,0
31,20,1,2,0
31,24,2,2,0
31,25,2,2,1
31,28,2,2,1
31,30,2,2,0
31,34,2,2,0
31,35,2,2,0
31,36,2,2,0
31,37,2,2,1
31,39,2,2,0
31,40,2,2,0
31,42,2,2,0
31,43,2,2,0
31,48,2,2,0
36,1,1,2,1
36,2,1,2,1
36,4,1,2,1
36,5,1,2,1
36,9,1,2,1
36,13,1,2,1
36,14,1,2,1
36,15,1,2,1
36,20,1,2,1
36,21,1,2,1
36,22,1,2,0
36,23,1,2,1
36,24,1,2,1
36,25,1,2,1
36,26,1,2,1
36,27,2,2,1
36,28,2,2,1
36,29,2,2,1
36,30,2,2,1
36,32,2,2,1
36,33,2,2,1
36,35,2,2,1
36,36,2,2,0
36,37,2,2,1
36,39,2,2,0
36,43,2,2,1
36,44,2,2,1
36,45,2,2,1
36,46,2,2,1
36,47,2,2,0
36,48,2,2,1
36,50,2,2,1
36,51,2,2,1
36,52,2,2,1
36,53,2,2,1
36,54,2,2,1
36,55,2,2,0
38,60,1,2,0
38,61,1,2,0
38,63,1,2,0
38,65,1,2,0
38,66,1,2,0
38,67,1,2,0
38,68,1,2,0
38,69,1,2,0
38,70,1,2,0
38,71,1,2,0
38,72,1,2,0
38,78,1,2,0
38,83,2,2,0
38,87,2,2,0
38,88,2,2,0
38,91,2,2,0
38,93,2,2,0
38,99,2,2,0
38,100,2,2,0
39,1,1,2,0
39,12,1,2,0
39,15,1,2,0
39,16,1,2,0
39,17,1,2,0
39,20,1,2,0
39,26,1,2,0
39,27,1,2,0
39,32,1,2,0
39,33,2,2,0
39,34,2,2,0
39,35,2,2,0
39,43,2,2,0
39,44,2,2,0
39,52,2,2,0
39,56,2,2,0
39,57,2,2,0
40,1,1,2,0
40,5,1,2,0
40,6,1,2,0
40,8,1,2,0
40,16,1,2,0
40,21,1,2,0
40,25,1,2,0
40,26,1,2,0
40,32,1,2,0
40,34,1,2,0
40,37,1,2,0
40,39,1,2,0
40,41,1,2,0
40,46,2,2,0
40,47,2,2,0
40,49,2,2,0
40,53,2,2,0
40,54,2,2,0
40,55,2,2,0
40,63,2,2,0
40,64,2,2,0
40,65,2,2,0
40,66,2,2,0
42,1,1,2,0
42,2,1,2,0
42,11,1,2,0
42,14,1,2,0
42,15,1,2,0
42,17,1,2,0
42,23,1,2,0
42,25,1,2,0
42,27,1,2,0
42,38,2,2,0
42,39,2,2,0
42,40,2,2,0
42,41,2,2,0
42,43,2,2,0
42,45,2,2,0
45,1,1,2,1
45,5,1,2,1
45,6,1,2,1
45,13,1,2,0
45,16,1,2,1
45,17,1,2,0
45,18,1,2,1
45,19,1,2,0
45,20,1,2,1
45,21,2,2,0
45,24,2,2,0
45,25,2,2,0
45,32,2,2,1
45,34,2,2,1
45,35,2,2,1
52,3,1,2,0
52,6,1,2,0
52,10,1,2,0
52,30,1,2,0
52,32,1,2,0
52,39,1,2,0
52,40,1,2,0
52,43,2,2,0
52,48,2,2,0
52,59,2,2,0
52,61,2,2,0
52,63,2,2,0
52,70,2,2,0
52,71,2,2,0
53,10,1,2,0
53,19,1,2,0
53,22,1,2,1
53,25,1,2,0
53,28,1,2,0
53,29,1,2,0
53,30,1,2,1
53,31,1,2,1
53,38,1,2,0
53,81,2,2,1
53,84,2,2,0
53,90,2,2,0
62,398,1,2,0
62,403,1,2,0
62,404,1,2,0
62,405,1,2,0
62,407,1,2,0
62,428,2,2,0
62,429,2,2,1
62,431,2,2,1
62,435,2,2,0
62,437,2,2,0
62,438,2,2,0
62,439,2,2,0
62,443,2,2,0
62,446,2,2,0
62,452,2,2,0
62,458,2,2,0
64,7,1,2,0
64,9,1,2,1
64,10,1,2,1
64,15,1,2,0
64,18,1,2,0
64,32,1,2,1
64,34,1,2,1
64,35,1,2,1
64,36,1,2,0
64,39,1,2,0
64,40,1,2,0
64,41,1,2,0
64,42,1,2,0
64,48,2,2,0
64,51,2,2,0
64,60,2,2,0
64,61,2,2,1
64,66,2,2,1
64,67,2,2,1
64,71,2,2,1
64,75,2,2,0
64,82,2,2,0
64,85,2,2,1
64,87,2,2,0
72,1,1,2,1
72,2,1,2,1
72,3,1,2,1
72,11,1,2,1
72,13,1,2,1
72,14,1,2,1
72,15,1,2,1
72,17,1,2,1
72,19,1,2,1
72,20,1,2,1
72,21,1,2,1
72,22,2,2,1
72,23,2,2,1
72,24,2,2,1
72,26,2,2,1
72,32,2,2,1
72,33,2,2,1
72,35,2,2,1
72,36,2,2,1
72,37,2,2,1
84,1,1,2,0
84,3,1,2,0
84,5,1,2,0
84,6,1,2,1
84,7,1,2,0
84,8,1,2,0
84,9,1,2,0
84,12,1,2,0
84,13,1,2,0
84,17,1,2,0
84,18,1,2,0
84,20,1,2,0
84,21,1,2,0
84,22,1,2,0
84,23,1,2,0
84,24,1,2,0
84,26,2,2,0
84,29,2,2,0
84,30,2,2,0
84,31,2,2,1
84,32,2,2,0
84,34,2,2,0
84,36,2,2,1
84,37,2,2,0
84,38,2,2,0
84,39,2,2,0
84,40,2,2,0
84,42,2,2,1
84,43,2,2,0
84,44,2,2,0
84,45,2,2,0
86,2,1,2,0
86,4,1,2,0
86,5,1,2,0
86,6,1,2,0
86,7,1,2,0
86,8,1,2,1
86,9,1,2,0
86,10,1,2,1
86,11,1,2,0
86,12,1,2,0
86,19,1,2,0
86,20,1,2,1
86,22,1,2,1
86,23,1,2,0
86,24,1,2,0
86,25,1,2,0
86,26,1,2,1
86,27,1,2,0
86,29,1,2,0
86,30,1,2,0
86,32,1,2,0
86,33,1,2,0
86,36,1,2,0
86,41,1,2,0
86,42,2,2,0
86,44,2,2,0
86,45,2,2,0
86,46,2,2,0
86,47,2,2,0
86,48,2,2,0
86,49,2,2,0
86,50,2,2,0
86,52,2,2,0
