Driver,Risk Level,TripsPerWeek,DistancePerTrip
2.0,1.0,4.0,8.703433215513
4.0,1.0,9.0,37.56176800031095
10.0,0.0,5.5,4.410718871235782
16.0,1.0,9.0,5.150768688297889
17.0,1.0,4.0,15.813960000650749
19.0,0.0,7.0,57.42366899233622
25.0,1.0,11.5,9.506892159441612
32.0,1.0,10.5,7.097684633238096
33.0,0.0,6.0,6.13054419673006
34.0,0.0,8.0,18.419049465227342
35.0,1.0,3.5,12.742121667180328
37.0,0.0,9.5,6.059091566928493
41.0,1.0,3.5,62.51011831848176
43.0,0.0,15.5,10.811293500023451
63.0,1.0,3.0,20.680277165718334
65.0,0.0,17.0,14.462715582933251
66.0,0.0,6.5,3.9515983897723683
68.0,0.0,7.5,10.589891222024907
74.0,1.0,10.0,15.958797436126599
78.0,1.0,13.0,14.619888307275223
80.0,0.0,5.5,17.606911691201603
81.0,1.0,15.0,16.57616461652656
82.0,0.0,4.0,21.155401919677328
83.0,0.0,6.5,8.161972653636353
85.0,0.0,8.5,12.628847652883373
87.0,1.0,12.0,9.881898581985988
92.0,1.0,5.0,23.99804043782823
93.0,0.0,20.5,4.128715907253452
96.0,1.0,15.0,22.65501332304227
98.0,0.0,7.0,17.835386471396614
100.0,1.0,11.0,19.647669066318564
101.0,0.0,6.5,11.866507966668015
103.0,1.0,7.5,9.268089604123425
